제목,가사,가수,발매일,좋아요수,장르
그땐 몰랐어 (Prod. 다가온),"집에 돌아오는 길
너와 걷던 거릴
애써 피해 걸으며
난 편하다고 생각했어
친구들을 만나도
술을 마셔봐도
허전한 내 일상은
채워지지 않아
그때 나의 감정은
니가 편하고 지겹다
생각 했었어
하지만 지나고 보니
편한함에 익숙해져
널 아프게 했어
다 이해한다고
나를 기다리고 있었다고
그 한마디가 먼저 내게
네가 먼저 꺼내주길
이제 나 알것 같아서
너에게 너무 미안해서
보고싶단 그 말도
네게 먼저 할수 없는 나인데
하지만 시간이 흐르고
조금씩 넌 내게 지친걸 느껴
한번만 내게 기회를 줘
네게 하지 못한 그 말
워우 워어
다 이해한다고
나를 기다리고 있었다고
그 한마디가 먼저 내게
네가 먼저 꺼내주길
이제 나 알것 같아서
너에게 너무 미안해서
보고싶단 그 말도
네게 먼저 할수 없는 나인데
내가 너무 바보 같았나봐
네 맘도 모르면서
내 생각만 했었던 나인데
널 사랑한다고
너만 기다리고 있었다고
그 한마디 말보다 먼저
너를 그냥 안아줄게
이제 나 알고 있어서
네 사랑이 너무 벅차서
바보같이 못한말 이젠 꺼낼게
난 너를 사랑해",백승엽,2017.06.29,59,발라드
왜일까,"왜일까 왜 내게서
떠나가려고 하는 걸까
이유도 모른 채
왜일까 왜 내게서
멀어지려고 하는 걸까
이해할 수 있게
도와주세요
왜 당신은 나를 떠나가나요
왜 당신은 그래야만 하는가요
미워하고 싶지 않은
내 마음을 알아주세요
왜 당신은 나를 떠나가나요
왜 당신은 그래야만 하는가요
미워하고 싶지 않은
내 마음을 알아주세요
왜 당신은 나를 떠나가나요
왜 당신은 나를 떠나가나요
왜 당신은 나를 떠나가나요
왜 당신은 나를 떠나가나요",유지희 (Yujihi),2017.06.29,173,"발라드, 인디음악"
작은 움직임,"어둠 속에서도 나는 혼자가 아니죠
그대가 등불이 되었죠
거센 비바람도 나는 두렵지 않아요
내 손을 꼭 잡아주었죠
내 작은 마음이 닿아서
그대의 아픔을 안아 줄께요
내 나라 내 가족 모두가
하나되어 더 나은 세상을
작은 움직임으로 큰 기적을
오늘이 지나면 내일이 찾아 오겠죠
이 순간 잊지는 말아요
함께 울어주고 함께 나누던 사랑을
기억해요 세월이 지나도
내 작은 마음이 닿아서
그대의 아픔을 안아 줄께요
내 나라 내 가족 모두가
하나되어 더 나은 세상을
작은 움직임으로 큰 기적을
내 소원을 들어주세요
낮이나 밤이나 지켜주세요
내 나라 내 가족 모두가
하나되어 더 나은 세상을
작은 움직임으로 더는 늦지 않도록
시작해요 약속해요
고마워요 사랑해요",희서,2017.06.29,14,발라드
잡을 수밖에,"왜 자꾸 눈물이 나는지
내 곁을 떠나간다는데
믿을 수가 없는
이 순간을 받아들이란 거야
어떻게 잊을 수가 있겠니
얼마나 사랑했는데
볼 수가 없어 너의 그 뒷모습을
보낼 수가 없잖아
이제야 알겠어 너의 차가운 미소
눈치 없던 내가 더 미웠니
네가 전부인 나는 그렇게
널 잡을 수밖에 없었던걸 이해해
어떻게 잊을 수가 있겠니
얼마나 사랑했는데
볼 수가 없어 너의 그 뒷모습을
보낼 수가 없잖아
이제야 알겠어 너의 차가운 미소
눈치 없던 내가 더 미웠니
네가 전부인 나는 그렇게
널 잡을 수밖에 없었던걸 이해해
이제야 알겠어 너의 차가운 미소
눈치 없던 내가 더 미웠니
네가 전부인 나는 그렇게
널 잡을 수밖에 없었던걸 이해해",루하,2017.06.29,6,발라드
말할거야 (With Lohi),"눈을 뜨면 네가 생각나
자꾸만 전화기만 봐
Whenever you go
Wherever you go
매일 네 생각뿐 인데
틈만 나면 만나고 싶고
네 목소리도 듣고 싶어
널 내 곁에만 더 둘 수 있다면
얼마나 더 좋을까
오늘은 말 할거야
너에게 말 할거야
널 내가 좋아한다고
내 곁에 모든 순간들이
오직 너로 만 가득한데
너에게 닿을 거야
내 맘이 보일 거야
넌 내 맘 아직 몰라도
이렇게 나 이 대로
너 하나라면
바라만 봐도 난 좋아
영화도 보고
공원도 걸을 거야
네 손도 잡고
이 모든걸 너와 내가
다 할 수 있다면
얼마나 더 좋을까
오늘은 말 할거야
너에게 말 할거야
널 내가 좋아한다고
내 곁에 모든 순간들이
오직 너로 만 가득한데
너에게 닿을 거야
내 맘이 보일 거야
넌 내 맘 아직 몰라도
이렇게 나 이 대로
너 하나라면
바라만 봐도 난 좋아
이 순간을 기억해
언제나 널 안아 줄게
많은 밤이 가고 세월이 가도
너만을 사랑할게
난 네가 좋은 거야
널 사랑 하는 거야
가슴이 터질 듯 말듯
내 곁에 모든 순간들이
오직 너로 만 가득한데
너에게 닿을 거야
내 맘이 보일 거야
넌 내 맘 아직 몰라도
이렇게 나 이 대로
너 하나라면
바라만 봐도 난 좋아",강우,2017.06.29,97,발라드
어딘가에서 (Feat. 서상도),"내가 무슨 자격으로
너를 탓할 수 있겠어
너는 그저 사랑받고 싶었을 뿐인데
나 그거 알아
그리고 너한테 항상 미안해
그 사랑을 내가 주지 못해서
주지 못했어
하지만 이건 알아둬
어떤 사람한테는
사랑은 왔다가 또 가는 것
그냥 그것뿐이야
넌 언제나 나에게 소중한 사람이야
하지만 이젠 난 어떤 노력도
하지 않으려고 해
잘 지내
어딘가에서 니가 행복하기를 바랄게
진심으로
진심으로
넌 언제나 나에게 소중한 사람이야
하지만 이젠 난 어떤 노력도
하지 않으려고 해
잘 지내
어딘가에서 니가 행복하기를 바랄게
진심으로
진심으로
잘 지내
어딘가에서 니가 행복하기를 바랄게
진심으로
진심으로",전우인,2017.06.30,32,"발라드, 인디음악"
혼자만의 사랑,"다시 돌아갈 순 없니 그 날 오후로
미소 짓던 네게 하지 못한 말 있어
다시 돌아갈 수 있다면
놓치지 않을 거야
나의 진심 말할 기회를
나의 마음속으로
한번이라도 와준다면
수줍은 내 고백을
한번이라도 봐준다면
다시 돌아갈 수 없는 시간을
이렇게 아쉬워하며 잊지 못하는 나는
어쩌면 이미 사랑을 한 건지도 몰라
너 없는 혼자만의 사랑
다시 돌아갈 순 없니 처음 그때로
사랑스런 네게 하지 못한 말 있어
다시 돌아갈 수 있다면
놓치지 않을 거야
너의 손 잡아줄 기회를
길 잃은 아이처럼
한참 동안을 걸어가다
너를 처음 보았던
거리에 서서 노래한다
다시 돌아갈 수 없는 시간을
이렇게 아쉬워하며 잊지 못하는 나는
어쩌면 이미 사랑을 한 건지도 몰라
너 없는 혼자만의 사랑
나의 마음속으로
한번이라도 와준다면
다시 돌아갈 수 없는 시간을
이렇게 아쉬워하며 잊지 못하는 나는
어쩌면 이미 사랑을 한 건지도 몰라
너 없는 혼자만의 사랑
너 없는 혼자만의 사랑",꿈쟁이와 우톨이,2017.06.30,2,발라드
너때문에 설레,"이렇게 너만 생각하는데
이렇게 너만 바라보는데
이렇게 너만 생각하다
이렇게 너만 바라보다
자꾸 웃음이 나
나 이렇게 너 때문에
심장이 쿵쿵 뛰어
살짝 스친 너의 손에
너의 심장 소리가 쿵쿵
너와 함께라면 나 이렇게 행복해
넌 하늘이 내게준 최고의 선물
널 웃게만 해줄게
너에게는 좋은것만 주고싶어
너의 향기에 너의 바람에
이렇게 설레 설레 설레
내 가슴이 뛰어
이렇게 너만 생각하다
이렇게 너만 바라보다 설레
내 가슴이 뛰어
나 너 때문에 이렇게 웃어 혼자
바보처럼 웃고 있지
너의 순수한 웃음에
나는 그저 혼자 읏어
이렇게 웃어 스쳐가는 바람에
너의 향기를 느껴 너 때문에 웃고
나 이렇게 너 때문에 행복에
이렇게 너와 함께
이렇게 설레 설레 설레
내 가슴이 뛰어
이렇게 너만 생각하다
이렇게 너만 바라보다 설레
내 가슴이 뛰어
이렇게 설레 설레 설레
내 가슴이 뛰어
이렇게 너만 생각하다
이렇게 너만 바라보다 설레
내 가슴이 뛰어
이렇게 너만 생각하는데
이렇게 너만 바라보는데
이렇게 너만 생각하다
이렇게 너만 바라보다
자꾸 웃음이 나
난 널 웃게만 해줄게
너에게는 좋은것만 주고싶어
거릴 걸으면 니 향기에 취해
너의 바람에 취해
어느새 너와 함께
이 길을 걷고있는 것만 같아
이 바람은 너를 기억해
이 시간에 너와 함께
걷고있는 것만 같아
넌 어떠니 내맘 알고 있니
난 너 때문에 이렇게 또 웃고 있어
정말 바본가봐 너만 생각하면
나 이렇게 웃음이 나
내 맘 아니 너 때문에 웃어
너만 있으면 나 이렇게 웃고있어
정말 바보라서 나 이렇게
또 설레 설레 설레",김재희,2017.06.30,17,"발라드, 인디음악"
If You (Inst.),"사랑을 알지 못했어
아직은 어린 건가 봐
그저 널 바라만 보면
왜인지 가슴이 설렜지
투명한 너의 눈빛이
이렇게 눈에 선해서
잠 못 이루고
널 생각하는 나였음을
if you
내게 온다면
난 세상을 가진 것처럼
소리쳐 난 저 하늘에
온통 난 너뿐이야
두 눈을 감아 내 맘을 담아
널 불러 본다
너를 사랑해 간절히 원해
듣고 있니
우우우
너를 우우우
하얀 너의 두 손
까맣던 너의 예쁜 눈
언제나 날 숨 쉬게 한
네가 곁에 있어 준 거야
좀처럼 다가설 수도
너의 그 손을 잡기도
부끄러웠던 나의 맘을 알고 있니
if you
내게 온다면
난 세상을 가진 것처럼
소리쳐 난 저 하늘에
온통 난 너뿐이야
두 눈을 감아 내 맘을 담아
널 불러본다
너를 사랑해 간절히 원해
듣고 있니
너무 오래 걸렸지
너에 대한 마음 알게 된
지금까지 흐른 시간
너의 두 손 잡을래
너를 놓치지 않게
if you
널 잃는다면
아무런 이유가 없어
언제나 언제까지나
너의 곁에 있을게
두 눈을 감아 내 맘을 담아
널 불러 본다
너를 사랑해 간절히 원해
듣고 있니
우우우
이런 나를 우우우",규현 (KYUHYUN),2017.06.30,850,발라드
니가 있기에,"혼자라는 건 외롭기도 하지만
헤어짐이란 짐은 없는 거야
불빛 어린 밤
차가운 바람 따라 들리는
작은 노랫소리에
한 발 두 발
아무도 모르게 다가가볼까
그러면 잊혀지려나
버려진 낙엽 조각을 따라
거닐고 거닐다 보면 다시
만날 수 있을까
기억의 아픔은 모두 잊은 채
그저 잠이 들고 나면
항상 바라보던 니가 있기에
우우우 우우우 우우 우우우
생각해보면 아무것도 아닌데
내 눈물은 왜 마르지 않을까
언제는 재미있었나
언제는 슬프기만 했나
내게는 아무 의미 없는걸
한 발 두 발
아무도 모르게 다가가볼까
그러면 잊혀지려나
버려진 낙엽 조각을 따라
거닐고 거닐다 보면
다시 만날 수 있을까
기억의 아픔은 모두 잊은 채
그저 잠이 들고 나면
다시 만날 수 있을까 그대
우우
거닐고 거닐다 보면
다시 만날수있을까
그저 잠이 들고나면
항상 바라보던 니가 있기에",강시라,2017.07.02,400,"발라드, 국내드라마"
You Can Find a Love (Feat. 신은서),"처음 널 봤을 때
아직도 그 모습 기억해
여느 여자들의 동그란 안경에
똑같은 얼굴로
분명 그랬었는데
왜 니가 내겐 이렇게
이뻐만 보이는 걸까
아직도 모르겠네
캠퍼스 안에
수많은 여자 가운데
너와 눈이 마주쳐
이건 거의 magic or you
아직도 you in my eye
이건 운명이야
신이 내게 주신
마지막 선물이야
두 번째 만남에
너를 못 알아볼 뻔
그만큼 이쁘게 하고
나를 찾아온 건
이건 소위 말하는 그린 라이트
인생에 마지막을 비춰
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
처음 널 봤을 때
아직도 그 모습 기억해
여느 남자들관 다른 모습에
당당한 얼굴로
분명 싫었었는데
왜 내겐 니가 이렇게
잘생겨 보이는 걸까
아직도 모르겠네
그때 왜 있잖아
너 말은 그렇게 하는데
나는 그걸 느낄 수 없는걸
너와 내 사이에
수많은 감정들이
머릿속을 헤매고 다녀
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love
you can find the love",J-mong,2017.07.01,45,발라드
읽어주세요 (Inst.),"달달한 네 한마디는 빛의 속도로
거친 세상 쓰린 상처 나를 위로해
너로 인한 좋은 기운이
입술에 감도는
sugar sugar su
너 하나로 힘을 내요 그리워해요
이런 날 어떡해 어떡해
나를 읽어주세요 yeah
부드러운 그 목소리로 um
정독해주세요 yeah
한 자 한 자 꼼꼼 천천히
때론 빨리 읽고 싶을 때도
그럴 때도 있지만
때론 크게 읽고 싶을 때도 있지만
그런 건 싫어요 그런 건 싫어요
날 안아줘요
이제는 난 네 나무야 내게서 쉬렴
내 맘속에 뿌리내린 너를 지킬게
너로 인해 사랑을 알고
피로 끝에 얻는 캐러멜 캔디바
너 하나만 생각해요 그게 다예요
이런 날 어떡해 어쩌죠
나를 읽어주세요 yeah
부드러운 그 목소리로 um
정독해주세요 yeah
한 자 한 자 꼼꼼 천천히
때론 빨리 읽고 싶을 때도
그럴 때도 있지만
때론 크게 읽고 싶을 때도 있지만
가끔씩 모를 땐 첨부터 읽어요
사랑을 주세요 더 더 더 더
사랑해 주세요 yeah
조금만 더 정열적으로 um
정독해주세요 yeah
하나하나 짚어가면서
이젠 내가 그대만의
예쁜 책이 되고 싶어요
밑줄 쭉쭉 그어가며 읽어주세요
좋아요 좋아요 너무나 좋아요
날 읽어줘요
오늘 여기까지 더 없이 좋아요
날 읽어줘요
읽어주세요",앤씨아,2017.06.30,114,발라드
적어도 너와 같은,"아른거리는 듯 해 니가 있는 것 같애
니가 나를 떠난 그 후로 매일
니가 아른거려
잘 해주기만 했던 내가 바보 같았었나
결국에 다른 사람 곁에
너도 아팠으면 적어도 너와 같은
그런 사람 만나서 꼭 아프길 바래
그러다 내 생각이 날 걸 또 후회할 거야
그래 그러길 바래
잘 해주기만 했던 내가 바보 같았었나
결국에 다른 사람 곁에
너도 아팠으면 적어도 너와 같은
그런 사람 만나서 꼭 아프길 바래
그러다 내 생각이 날 걸 또 후회할 거야
그래 그러길 바래",9991,2017.07.03,10,발라드
I Miss U (Inst.),"어쩌면 모든 게 꿈은 아닐까
괜한 생각에 혼란스러워
너의 기억을 애써 지우려
고갤 저어봐도
그냥 자꾸만 니가 떠올라
I Miss U
깨어나지 않는 꿈처럼
I Miss U
나를 꼭 안아줘
누구보다도 환하게 웃을 수 있게
어쩌면 이건 내 환상인 걸까
괜한 생각에 혼란스러워
지워낼수록 더 차오르는
선명한 네 모습
그래 난 이미 너만 보이나 봐
I Miss U
깨어나지 않는 꿈처럼
I Miss U
나를 꼭 안아줘
누구보다도 환하게 웃을 수 있게
언제나 너를 생각해
내 맘은 너 하나뿐이야
I Miss U
변하지 않는 환상처럼
I Miss U
내 곁에 머물러줘
내 안의 너를 언제나 느낄 수 있게
내 손을 꼭 잡아줘
누구보다도 환하게 웃을 수 있게",차여울,2017.07.03,31,발라드
내가 만든 우연,"쓸쓸한 밤거리를 돌아오고 있어
고작 네 얼굴 보고 싶어서
반대로 가는 버스를 탔어
고작 네 목소리 들으려고
두 눈을 감고 널 떠올릴 때마다
내가 너무 초라해
그래도 결국 너를 보는 게 좋아
우연을 난 만들어
차라리 어긋나버렸다면
고작 풋사랑으로 끝날걸
널 볼 때마다 행복해져서
나는 끈질기게 널 찾아
두 눈을 감고 널 떠올릴 때마다
내가 너무 초라해
그래도 결국 너를 보는 게 좋아
우연을 또 만들어
너를 사랑해 혼잣말이라도
이 말을 하고 싶어
나를 좋아해 줘 사랑은 아니어도
나를 좀 바라봐 줘",레이 오 (RAY OH),2017.07.04,34,발라드
Taru,"흘리는 눈물 모두
노래가 된다면
누군가 덮어주는
이불이 된다면
오늘도 곱게
짜내려 가겠네
눈물이 다 슬픈 건 아니오
뜨거운 열병 씻어 내리고
차마 전하지 못한 열 마디 위로
대신 전한다오
흘리는 눈물 모두
노래가 된다면
누군가 덮어주는
이불이 된다면
오늘도 곱게
짜내려 가겠네
눈물이 다 슬픈 건 아니오
무거운 잣대 녹여 내리고
차마 허물지 못한 마음의 벽에
작은 문 낸다오",타루,2017.07.04,155,"발라드, 인디음악"
곁에 있어줘,"내 이름조차 낯선 이곳
모두가 날 지나쳐버렸지
잊혀지고 있단 생각에
괜스레 눈물이 날 때쯤
네가 나타났어
너는 달라
왠지 오래 전부터 함께한 것 같아
내 곁에 있어줘
나와 같은 길을 걸어줘
내 곁에 있어줘
나와 같은 꿈을 나눠줘
무언가 기억하기도 전에
놓쳐버리고 싶진 않아
세상은 너무 빨라 우린
서롤 간직한 채 잠이
들 수 있을까
너는 달라
왠지 오래 전 나를 닮은 것만 같아
내 곁에 있어줘
나와 같은 길을 걸어줘
내 곁에 있어줘
나와 같은 꿈을 나눠줘
내 곁에 있어줘
나와 같은 길을 걸어줘
내 곁에 있어줘
나와 같은 꿈을 나눠줘
내 곁에 있어줘
나와 같은 꿈을 나눠줘",타루,2017.07.04,124,"발라드, 인디음악"
I Need A Light (Prod. by 휘),"산산이 흩어 조각나버려
찾을 수 없어
해맑게 소란스런 마음도
더 이상 숨 쉬질 않아
하룻밤 꿈처럼 벌써 희미해져 가
지독한 늪처럼 빠져나올 수 없어
그만 좀 꺼내줘 감정의 늪에서 날
I Need A Light I Need A Light
메마른 허상과 차가운 떨림이
다시 나로 물들 수 있게
I Need A Light I Need A Light
가난한 마음과 공허한 순간이
다시 나로 숨 쉴 수 있게
캄캄한 방 한구석에 기대
날 안고 있어
시들고 비틀어진 생각에
더 이상 아프지 않게
식어버린 심장은 결국 굳어가나 봐
지독한 늪처럼 빠져나올 수 없어
그만 좀 꺼내줘 고통의 늪에서 날
I Need A Light I Need A Light
메마른 허상과 차가운 떨림이
다시 나로 물들 수 있게
I Need A Light I Need A Light
가난한 마음과 공허한 순간이
다시 나로 숨 쉴 수 있게
이제 더는 도망칠 수 없어
I Need A Light I Need A Light
길잃은 추억과 체념한 기억이
다시 나로 물들 수 있게
I Need A Light I Need A Light
처절한 그리움 삭막한 외로움
다시 나로 숨쉴 수 있게",한가을,2017.07.04,182,"발라드, 국내드라마"
영원한 사랑,"사랑이 내게로 다가와
내 마음 비추고
더 많이 나만을 사랑한다고
두 손 놓지 않고
내 곁을 항상 지켜주고
나만을 바라던
니 작은 따스한 말 한마디가
내 마음 밝게 비추네
저기 저 하늘 빛나는 별들처럼
너를 향해 난 달려갈 거야
우리 사랑이 영원하길 기도해
빛으로 물든 너와의 사랑
내 곁을 항상 지켜주고
나만을 바라던
니 작은 따스한 말 한마디가
내 마음 밝게 비추네
저기 저 하늘 빛나는 별들처럼
너를 향해 난 달려갈 거야
우리 사랑이 영원하길 기도해
빛으로 물든 너와의 사랑
우리 사랑이 영원하길 기도해
빛으로 물든 너와의 사랑",지세희,2017.07.04,110,"발라드, 국내드라마"
우리 사랑했다면,"사랑이 시작되던
잠 못 이루던 그날 그때로
우리 다시 돌아갈 순 없을까
모든 것이 궁금하고
어떤 피곤함도 모르는
마치 영원할 것만 같던
사랑의 순간도 희미해져 가
우리 사랑했다면 됐어
모두 진심이라면
그 아름다웠던
사랑을 담아두려 해
우리 사랑했기에
좋았었던 기억만
간직한 채 나 돌아서려 해
심하게 다퉜던 날
밤새 울다 지쳐 돌아선 그때
그날로 다시 돌아갈 순 없을까
전과 널 비교하고
결국 변한 건 나였어
너에게 어떤 아픔
자라나고 있는지 알지 못했어
우리 사랑했다면 됐어
모두 진심이라면
그 아름다웠던
사랑을 담아두려 해
우리 사랑했기에
좋았었던 기억만
간직한 채 나 돌아서려 해
모두 남김없이
후회 없이 사랑했다면
우리 이제 더 이상
돌아보지 말자
우리 사랑했다면 됐어
모두 진심이라면
그 아름다웠던
사랑을 담아두려 해
우리 사랑했기에
좋았었던 기억만
간직한 채 나 돌아서려 해",리디아 (Lydia),2017.07.04,214,"발라드, 국내드라마"
기다림의 바다,"기다림에 단 한번도 지쳤던 적 없어
파도소리가 너의 목소린 것 같아서
그리움에 아픔에 유통기한은 없어
너 없는 세상 난 숨 쉴 수가 없어
꿈 속에 너는 그대론데
혹시 변한 내 모습 못 알아볼까봐
오늘도 노을이 내린 바다
또 하루가 끝나고
너 없는 내일이 오겠지
너를 부르고 불러봐도
내 작은 목소린 늘 그렇듯
파도에 부서지고
눈물이 내려앉은 바다에
비가 오나 눈이 오나 늘 언제나
너를 기다리면 네가 오나
무섭게 바다는 고요하네
네가 떠난 세상도 아무 일 없는 듯
내게는 슬픔에 물든 바다
또 하루가 끝나도
너 없는 내일이 오듯이
너를 부르고 불러봐도
내 작은 목소린 늘 그렇듯
파도에 부서지고
눈물이 내려앉은 바다에
비가 오나 눈이 오나 늘 언제나
너를 기다리면 네가 오나
너를 부르고 불러봐도
내 작은 목소린 늘 그렇듯
파도에 부서지고
눈물이 내려앉은 바다에
비가 오나 눈이 오나 늘 언제나
너를 기다리면",청춘낭만사 (Green Spring Romance),2017.07.05,469,"발라드, 인디음악"
할 수만 있다면,"늦은 새벽 저절로 떠지는 눈
꿈속에서도 날 괴롭히는 너
선명한 너의 모습에
난 다시 잠들지 못해
난 아직도 멈춰진 시간 속에
너를 그리며 깨어나지 못해
선명한 너의 모습에
오늘도 잠들지 못해
나를 바라보며
사랑한다 속삭이던 그대는
이젠 더 이상 없다는 걸 잘 알면서도
할 수만 있다면
널 알기 전으로 돌아가고 싶어
처음부터 없었던 일처럼
우리가 사랑한
수많은 추억이 이젠 날 괴롭혀
다시 돌아갈 수 없단 걸 알면서도
난 아직도 멈춰진 시간 속에
너를 그리며 깨어나지 못해
선명한 너의 모습에
오늘도 잠들지 못해
아무 말도 없이
그저 나를 안아주던 그대는
이젠 더 이상 없다는 걸 잘 알면서도
할 수만 있다면
널 알기 전으로 돌아가고 싶어
처음부터 없었던 일처럼
우리가 사랑한
수많은 추억이 이젠 날 괴롭혀
다시 돌아갈 수 없단 걸
할 수만 있다면
널 알기 전으로 돌아가고 싶어
모든 추억들이 사라져도
우리가 사랑한
수많은 추억이 이젠 날 괴롭혀
다시 돌아갈 수 없단 걸 알면서도",신다정,2017.07.05,258,발라드
Living in my world,"시간이 쉴새 없이 흘러가
계절은 바뀌어가고
여전히 난 변한 것 하나 없지만
흐르는 대로 그저 흘러가
내 본능적인 욕망이
내 삶을 가득 채울 때
그 삶의 끝엔 후회이지만
사랑이 가득한 인생의 끝에는
좋은 추억과 따뜻함이 남지
현실과 동떨어진 꿈인 걸 알아
모두가 외면할거라는 것도 알아
세상을 모른다 그 누가 뭐래도
I’m I’m living in my world
I’m living in my world oh oh
I’m living in my world oh oh
I’m living in my world oh oh
I’m living in my world oh oh
I’m living in my world oh
ohohohoh
I’m living in my world oh
ohohohoh
I’m living in my world oh
ohohohoh
I’m living in my world oh
ohohohoh
I’m living in my world
숨겨왔던 모든 꿈을 세상에 외칠 때
사람들이 모두 외면해도 But
Your dream is a prize for living
in this world
Then don’t look back anymore
현실과 동떨어진 꿈인 걸 알아
모두가 외면할거라는 것도 알아
세상을 모른다 그 누가 뭐래도
I’m I’m living in my world
I’m living in my world oh oh
I’m living in my world oh oh
I’m living in my world oh oh
I’m living in my world oh oh
I’m living in my world oh
ohohohoh
I’m living in my world oh
ohohohoh
I’m living in my world oh
ohohohoh
I’m living in my world oh
ohohohoh
Yeah living in my world
I’m living in my world oh oh
I’m living in my world oh oh
I’m living in my world",J.Dale,2017.07.05,17,발라드
위로 (Inst.),"빨갛게 물드는 하늘
집으로 가는 발걸음
오늘도 참 많이 지친 하루였겠죠
무거운 눈을 견디며
하늘 한번 보지 못하는 하루가
그대의 매일이겠죠
반쯤 감긴 눈으로 날
바라보며 괜찮다 말하는
그대 안쓰러
꼭 안아주고 싶어요
혼자 애쓰지 않아도 돼
항상 곁에서 그댈 지킬게
그대 내 품에
안겨 쉬어도 돼
쓰러져 울고 싶을 때
그대가 내 어깨에
기대어 쉴 수 있게
언제나 항상 이렇게
언제나 항상 이대로
걱정 가득한 마음과
두려움에 잔뜩 웅크린
그대의 내일에
꼭 말해주고 싶어요
혼자 애쓰지 않아도 돼
항상 곁에서 힘이 돼줄게
그대 오늘도
참 잘 견뎌냈어요
쓰러져 울고 싶을 때
그대가 내 어깨에
기대어 쉴 수 있게
언제나 항상 이렇게 항상
언제나 여기 이대로 있을게",한기란,2017.07.04,38,발라드
입맞추고파,"너를 안고서
너의 눈을 바라보며
너의 예쁜 우주가 있는
너의 그 눈동자
별빛처럼 빛나는
너의 입술에
조용히 입맞추고파
사랑한다는 말론
부족하겠지만
내 전부를 담아 속삭일게
너무나 아름다운 널 보면
내 전부를 주고 싶어
이 순간 너무나 널 사랑해
달빛처럼 빛나는
너의 입술에
조용히 입맞추고파
사랑한다는 말론
부족하겠지만
내 전부를 담아 속삭일게
너무나 아름다운 널 보면
내 전부를 주고 싶어
이 순간 너무나 널 사랑해",마카롱클라우드,2017.07.05,10,발라드
어떤 날에는,"새벽이 밀려오는 까만 밤
주위를 서성이다 보면
고요함에 물들고
괜히 떠오르는 지난날이
무거운 마음에 잠긴 채
가끔 생각하곤 해
다시 돌아갈 수 없단 걸 알아
그냥 생각이 나서 그래
지나간 날에 기대 눈감을 때면
이제서야 겨우 보이네
창가에 내려앉은 달빛
쓸쓸함만이 밀려오는 새벽녘
저 멀리에 두고 온 것 같은
오랜 기억이
가슴 시리게 자꾸만 떠올라
지나간 날들에 후회
그리고 또 아쉬움
혼자 있는 방안에
쏟아지는 외로움이
다 지나가길 기다리는 새벽녘
아직 그때 모습 그대로일까
너의 말투 습관들 마저
왠지 너라면 그대로일 것 같아
이제서야 네가 너무 그리워
창가에 스며드는 달빛
그리움으로 짙어지는 새벽녘
저 멀리에 두고 온 것 같은
오랜 기억이
가슴 시리게 자꾸만 떠올라
언젠가 시간이 흘러
우리 다시 만나면
그때는 꼭 말할래
외로웠던 너의 맘을
몰랐던 난 바보였다고
참 미안해",온리유,2017.07.05,244,"발라드, 국내드라마"
별,"늦은 밤 마지막 하나 꺼져 있던 가로등
깜박거리던 눈에만 빛 하나
갈 곳을 잃은 채 익숙한 어둔 길을 걷는
조그만 아이가 너무 가여워 보여
보이지 않는 길이라도 손 잡아 준다면
우리는 찾을 수 있어
그 빛 하나
오 난 별이 떠있는 하늘을 보면
내 방 한 칸 울고 있던
어린 내가 보여
오 난 반짝거리는 별들을 보면
내가 꿈꿔온 작은 그
꿈들이 보여
어둔 밤 홀로 걷던 내 위에 항상
같은 자리에 서있던 그 빛 하나
축 처진 네게 힘이 되어 줄게 나
먼 길을 돌아 우리
여기까지 왔잖아
오 난 별이 떠있는 하늘을 보면
내 방 한 칸 울고 있던
어린 내가 보여
오 난 반짝거리는 별들을 보면
내가 꿈꿔온 작은 그
꿈들이 보여
지금까지 걸어온 우리의 이야기가
하나하나씩 모두 저 별에
적혀 있잖아
오 난 별이 떠있는 하늘을 보면
내가 꿈꿔온 작은 그
꿈들이 보여
오 난 반짝거리는 별들을 보며
다시 한 걸음 한 걸음
내디딜 거야
오 난 혼자가 아닌 너와 함께야
내가 꿈꿔온 작은 그
꿈들이 이뤄져",디어프롬 (DearFrom),2017.07.06,176,"발라드, 인디음악"
