,제목,가사,장르
20,고향친구,"제기차기 놀이하던
고향친구들아
어디에서 무얼 하느냐
팽이치기 놀이하던
고향친구들아
옛 모습이 그리웁구나
세상을 빙글빙글 돌아
힘들게 달려왔는데
하나 둘 내 곁을 떠나
외로워서 못 살겠다
냇가에서 고기 잡던
코흘리개 친구들아
이제라도 다시 만나서
옛 추억을 떠올리며
소주 한잔 하자꾸나
눈물 나게 그리웁구나
세상을 빙글빙글 돌아
힘들게 달려왔는데
하나 둘 내 곁을 떠나
외로워서 못 살겠다
냇가에서 고기 잡던
코흘리개 친구들아
이제라도 다시 만나서
옛 추억을 떠올리며
소주 한잔 하자꾸나
눈물 나게 그리웁구나
옛 추억을 떠올리며
소주 한잔 하자꾸나
눈물 나게 그리웁구나
눈물 나게 그리웁구나",트로트
21,장녹수,"가는 세월 바람타고
흘러가는 저 구름아
수많은 사연 담아
가는 곳이 어드메냐
구중궁궐 처마 끝에
한 맺힌 매듭 엮어
눈물강 건너서
높은 뜻 걸었더니
부귀도 영화도
구름인양 간 곳 없고
어이타 녹수는
청산에 홀로 우는가
한 조각 구름 따라
떠도는 저 달님아
한 많은 사연 담아
내 숨은 곳 어드메냐
곤룡포 한 자락에
구곡간장 애태우며
안개강 건너서
높은 뜻 기웠더니
부귀도 영화도
구름인양 간 곳 없고
어이타 녹수는
청산에 홀로 우는가
청산에 홀로 우는가",트로트
22,첫차,"꿈같은 세월 짧았던 행복
생각이 나겠지만
아쉬운 정도 아쉬운 미련도
모두 다 잊겠어요
짜라짜라 짜짜
짜라짜라 짜짜
새벽안개 헤치며 달려가는
첫차에 몸을 싣고 꿈도 싣고
내 마음 모두 싣고 떠나갑니다
당신을 멀리멀리
이루지 못할 사랑이라면
내가 먼저 떠나가야지
꿈같은 세월 짧았던 행복
생각이 나겠지만
아쉬운 정도 아쉬운 미련도
모두 다 잊겠어요
새벽안개 헤치며 달려가는
첫차에 몸을 싣고 꿈도 싣고
내 마음 모두 싣고 떠나갑니다
당신을 멀리멀리
짜라짜라 짜짜
짜라짜라 짜짜
멀어지는 당신을 생각하면
가슴을 적셔오는 지난 추억
어차피 잊어야 할사람인 것을
이토록 슬퍼질까
이루지 못할 사랑이라면
내가 먼저 떠나가야지
꿈같은 세월 짧았던 행복
생각이 나겠지만
아쉬운 정도 아쉬운 미련도
모두 다 잊겠어요
새벽안개 헤치며 달려가는
첫차에 몸을 싣고 꿈도 싣고
내 마음 모두 싣고 떠나갑니다
당신을 멀리멀리
꿈같은 세월 짧았던 행복
생각이 나겠지만
아쉬운 정도 아쉬운 미련도
모두 다 잊겠어요
꿈같은 세월 짧았던 행복
생각이 나겠지만
아쉬운 정도 아쉬운 미련도
모두 다 잊겠어요
꿈같은 세월 짧았던 행복
생각이 나겠지만
아쉬운 정도 아쉬운 미련도
모두 다 잊겠어요
당신을 멀리멀리",트로트
23,사랑의 광고,"신문에다 내줄까요
방송에다 내줄까요
당신을 사랑한다고
사람들이 알아듣도록
광장에 가서
소리치며 광고할까요
외롭던 날들이여
이제는 안녕
난 다시 태어난 거야
신문에다 낼까요
대문짝만하게
사랑한다 사랑한다고
당신을 사랑한다고
신문에다 내줄까요
방송에다 내줄까요
당신을 사랑한다고
사람들이 알아듣도록
광장에 가서
소리치며 광고할까요
외롭던 날들이여
이제는 안녕
난 다시 태어난 거야
신문에다 낼까요
대문짝만하게
사랑한다 사랑한다고
당신을 사랑한다고
외롭던 세월이여
이제는 안녕
난 다시 태어난 거야
신문에다 낼까요
대문짝만하게
사랑한다 사랑한다고
당신을 사랑한다고",트로트
24,허공,"꿈이었다고 생각하기엔
너무나도 아쉬움 남아
가슴태우며 기다리기엔
너무나도 멀어진 그대
사랑했던 마음도
미워했던 마음도
허공속에 묻어야만 될
슬픈 옛 이야기
스쳐버린 그 날들
잊어야할 그 날들
허공속에 묻힐 그날들
잊는다고 생각하기엔
너무나도 미련이 남아
돌아선 마음 달래보기엔
너무나도 멀어진 그대
설레이던 마음도
기다리던 마음도
허공속에 묻어야만 될
슬픈 옛이야기
스쳐버린 그 약속
잊어야할 그 약속
허공속에 묻힐 그 약속",트로트
25,샹하이로맨스,"빠졌나봐 빠졌나봐
Lovin' my boy
빠질거야 빠질거야
너의 맘도
오늘밤도 내일밤도
만날 My boy
백퍼센트는 아녀도
Baby Oh 내거 해줄거지 응
Baby Oh 보고 싶은 내 님아
Baby 샤샤샤
오 나의 샹하이 러브
자꾸자꾸 나타나
Baby 샤샤샤 대체 넌 뭐야
훌쩍훌쩍 날 울려
샤샤샤 내 맘 오늘도
두근두근 거리게
Baby 샤샤샤
오 나의 샹하이 러브
도도도도 도도해
비행기를 타고가야 만날텐데
만만치가 않아않아 울먹울먹
양쯔강을 건너건너 가고파도
돈이 없어 힘들어
Baby Oh 내거 해줄거지 응
Baby Oh 보고 싶은 내 님아
Baby 샤샤샤
오 나의 샹하이 러브
자꾸자꾸 나타나
Baby 샤샤샤 대체 넌 뭐야
훌쩍훌쩍 날 울려
샤샤샤 내 맘 오늘도
두근두근 거리게
Baby 샤샤샤
오 나의 샹하이 러브
도도도도 도도해
Hey 거기 수트 입은
샹하이 Boy
왜 내가 눈 떴을 땐
보이지 않는거야
아무 소리 없이
사라진 넌 나뻐
너는 내가 아마
처음 느낀 사랑일걸
꿈이지만 난 니꺼
아무리 보고파도
그게 잘 안돼
어떡해야 해 난 어떡해
잊어야 하나 봐
잊으려 노력해도 그게 잘 안돼
자꾸 나타나잖아
꿈에 보이잖아
샤샤샤
오 나의 샹하이 러브
자꾸자꾸 나타나
Baby 샤샤샤 대체 넌 뭐야
훌쩍훌쩍 날 울려
샤샤샤 내 맘 오늘도
두근두근 거리게
Baby 샤샤샤
오 나의 샹하이 러브
너무나도 도도해",트로트
26,다짐,"그때 내가 아니야
니 얼굴만 봐도 눈물짓던
그런 표정 하지마
잔인한 너에게 후회 뿐야
널 우연히 만나면
나에 달라진 모습을
너 보여 주면 혹시 내게
다시 돌아 올까봐
하지만 끝난 거야
니가 나를 잊는데
도움만 됐을 뿐
오히려 헤어진 게 잘됐다고
안심했을 너야
다짐하고 또 했어
널 모조리 잊어버리자고
죽기 직전까지만
널 그리워하다 끝내자고
널 우연히 만나면
나에 달라진 모습을
너 보여주면 혹시 내게
다시 돌아 올까봐
하지만 끝난 거야
니가 나를 잊는데 도움만 됐을 뿐
오히려 헤어진 게
잘됐다고 안심했을 너야
난 달라졌어 너 때문에
더 이상 아파하진 않아
그 때완 다를 거야
누가 봐도 강한 내가 됐어",트로트
27,붉은노을,"붉게 물든 노을 바라보면
슬픈 그대 얼굴 생각이나
고개 숙이네 눈물 흘러
아무 말 할 수가 없지만
난 너를 사랑하네
이 세상은 너 뿐이야
소리쳐 부르지만
저 대답 없는 노을만 붉게 타는데
그 세월 속에 잊어야할 기억들이
다시 생각나면
눈감아요 소리 없이 그 이름 불러요
아름다웠던 그대모습
다시 볼 수 없는 것 알아요
후회 없어 저 타는 노을
붉은 노을처럼
난 너를 사랑하네
이 세상은 너 뿐이야
소리쳐 부르지만
저 대답 없는 노을만 붉게 타는데
어디로 갔을까
사랑하던 슬픈 그대얼굴 보고싶어
깊은 사랑 후회 없어
저 타는 붉은 노을처럼
난 너를 사랑하네
이 세상은 너 뿐이야
소리쳐 부르지만
저 대답 없는 노을만 붉게 타는데
그 세월 속에 잊어야할
기억들이 다시 생각나면
눈감아요 소리 없이
그 이름 불러요
아름다웠던 그대모습
다시 볼 수 없는 것 알아요
후회 없어 저 타는 노을 붉은 노을처럼
난 너를 사랑하네
이 세상은 너 뿐이야
소리쳐 부르지만
저 대답 없는 노을만 붉게 타는데
난 너를 사랑하네
이 세상은 너 뿐이야
소리쳐 부르지만
저 대답 없는 노을만 붉게 타는데",트로트
28,힘내라 대한민국,"다시 한번 희망을 품자 대한민국아
다시 한번 우뚝 일어서 보자
너와 나의 움츠렸던 가슴을 활짝 펴고
디딤돌처럼 꿋꿋이 서보자
지금까지 어떤 시련이 우리를 찾아와도
모두 다 이겨내고 여기까지 왔잖아
다시 한번 힘을 내보자 대한민국아
우리 모두 마음을 뭉쳐보자
우리는 할 수 있어 뭐든지 할 수 있어
너와 내가 마음을 뭉치면
힘을 내라 힘을 내라 힘을 내
대한민국아 이 시련을 딛고 우뚝 서보자
다시 한번 희망을 품자 대한민국아
다시 한번 우뚝 일어서 보자
너와 나의 움츠렸던 가슴을 활짝 펴고
디딤돌처럼 꿋꿋이 서보자
지금까지 어떤 시련이 우리를 찾아와도
모두 다 이겨내고 여기까지 왔잖아
다시 한번 힘을 내보자 대한민국아
우리 모두 마음을 뭉쳐보자
우리는 할 수 있어 뭐든지 할 수 있어
너와 내가 마음을 뭉치면
힘을 내라 힘을 내라 힘을 내
대한민국아 이 시련을 딛고 우뚝 서보자
이 시련을 딛고 우뚝 서보자",트로트
29,자갈치 아지매,"흥남 부두 돌아 돌아
국제시장 돌고 돌아
소리 내어 울었네
소리 내어 불렀네
당신을 찾아 헤맸네
반짝반짝 반짝이는
항구의 작은 별들아
우리 엄마 계신 곳까지
나를 나를 데려가다오
영도다리 난간위에서
남포동 뒷골목에서
자갈치 아지매가
목놓아 부르는 이름
엄마 엄마 엄마를 찾는
자갈치 아지매
영도다리 난간위에서
남포동 뒷골목에서
자갈치 아지매가
목놓아 부르는 이름
엄마 엄마 엄마를 찾는
자갈치 아지매
자갈치 아지매",트로트
