제목,가사,가수,발매일,좋아요수,장르
순이생각,"시냇물 흘러 흘러
내 곁을 스치네

물가에 마주앉아
사랑을 그리며 속삭였네
우리꿈을
내일이면 만날
그날이 돌아 오건만
얼마나 변했을까나
우리순이야
설레움에 내 마음은 벌써
고향으로 달려가고있네
순이생각에
모두가 반겨주네
정다운 순이도

새소리 물소리
내 사랑 순이도
아름다운
우리고향

내일이면 만날
그날이 돌아오건만
얼마나 변했을까나
우리순이야
설레움에 내 마음은 벌써
고향으로 달려가고 있네
순이생각에
모두가 반겨주네
정다운 순이도

새소리 물소리
내 사랑 순이도
아름다운
우리고향",백미현,2006.05.18,21,발라드
잊으리라,"잊으리라 잊으리라
미련없이 너의 모습 잊으리라 말없이
떠나리라 떠나리라
머나 먼 길 미련없이 떠나리라 말없이

정처없는 이 발길
어느 누굴 찾아 가나
기약없이 떠나가는
네 모습이 멀어 가네
잊으리라 잊으리라
미련없이 너의 모습 잊으리라 말없이

정처없는 이 발길
어느 누굴 찾아 가나
기약없이 떠나가는
네 모습이 멀어 가네
떠나리라 떠나리라
머나 먼 길 미련없이 떠나리라 말없이",유상록,1999.01.01,1,발라드
아침 이슬,"긴 밤 지세우고 풀잎마다 맺힌
진주보다 더 고운 아침이슬처럼
내맘에 설움이 알알이 맺힐 때
아침동산에 올라
작은 미소를 배운다
태양은 묘지 위에 붉게 떠오르고
한낮에 찌는 더위는
나의 시련일지라
나 이제 가노라
저 거친 광야에 서러움 모두 버리고
나 이제 가노라
긴 밤 지세우고 풀잎마다 맺힌
진주보다 더 고운 아침이슬처럼
내 맘의 설움이 알알이 맺힐 때
아침 동산에 올라
작은 미소를 배운다
태양은 묘지위에 붉게 떠오르고
한낮에 찌는 더위는
나의 시련일지라
나 이제 가노라
저 거친 광야에 서러움 모두 버리고
나 이제 가노라
나 이제 가노라",유상록,1999.01.01,3,발라드
잃어버린 우산,"안개비가 하얗게 내리던 밤
그대 사는 작은 섬으로
나를 이끌던 날부터
그대 내겐 단 하나
우산이 되었지만
지금 비 속으로 걸어가는
나는 우산이 없어요
이젠 지나버린 이야기들이
내겐 꿈결같지만
하얀 종이위에 그릴 수 있는
작은 사랑이어라
라라 라라라라 라라라라라
라라 라라라라라
잊혀져간 그날의 기억들은
지금 비속으로 걸어가는
내겐 우산이 되리라
그대 내겐 단 하나
우산이 되었지만
지금 비 속으로 걸어가는
나는 우산이 없어요
이젠 지나버린 이야기들이
내겐 꿈결같지만
하얀 종이위에 그릴 수 있는
작은 사랑이어라
잊혀져간 그날의 기억들은
지금 비속으로 걸어가는
내겐 우산이 되리라",유상록,1999.01.01,15,발라드
석양,"가야할 사람이기에
안녕 안녕이라고 말해야지
돌아설 사람이기에
안녕 안녕이라고 말해야지
울먹이는 마음일랑
나혼자 삭이면서 웃으며 말해야지
안녕 안녕 가야할 사람이기에
안녕 안녕이라고 말해야지",유상록,1999.01.01,4,발라드
거리에서,"거리에 가로등불이 하나 둘씩 켜지고 검붉은 노을 너머
또 하루가 저물땐 왠지 모든 것이 꿈결 같아요
유리에 비친 내 모습은 무얼 찾고 있는지 뭐라 말하려해도
기억하려 하여도 허한 눈길만이 되돌아와요
그리운 그대 아름다운 모습으로 마치 아무일도 없던 것처럼
내가 알지 못하는 머나먼 그곳으로 떠나버린 후
사랑의 슬픈 추억은 소리없이 흩어져
이젠 그대 모습도
함께 나눈 사랑도 더딘 시간속에 잊혀져가요

거리에 짙은 어둠이 낙엽처럼 쌓이고 차가운 바람만이
나의 곁을 스치면 웬지 모든것이 꿈결 같아요
옷깃을 세워 걸으며 웃음지려 하여도 떠나가던
그대의 모습 보일 것 같아 다시 돌아보며 눈물 흘려요
그리운 그대 아름다운 모습으로 마치 아무일도 없던 것처럼
내가 알지 못하는 머나먼 그곳으로 떠나버린 후
사랑의 슬픈 추억은 소리없이 흩어져
이젠 그대 모습도
함께 나눈 사랑도 더딘 시간속에 잊혀져가요",박강성,1997.02.12,58,발라드
재회,"잊었단 말인가 나를
타오르던 눈동자를
잊었단 말인가 그때 일을
아름다운 기억을
사랑을 하면서도 우린
만나지도 못하고
서로 헤어진 채로 우린
이렇게 살아왔건만
싸늘히 식은 찻잔
무표정한 그대 얼굴
보고파 지샌 밤이
나 얼마나 많았는데
헤어져야 하는가 다시
아픔을 접어둔 채로
떠나가야 하는가 다시
나만 홀로 남겨두고

싸늘히 식은 찻잔
무표정한 그대 얼굴
보고파 지샌 밤이
나 얼마나 많았는데
헤어져야 하는가 다시
아픔을 접어둔 채로
떠나가야 하는가 다시
나만 홀로 남겨두고
나만 홀로 남겨두고",박강성,1997.02.12,37,발라드
조약돌,"꽃잎이 한잎 두잎
바람에 떨어지고
짝 잃은 기러기는
슬피 울며 어디가나
이슬이 눈물처럼
꽃잎에 맺혀 있고
모르는 사람들은
제 갈길로 가는구나
여름가고 가을이
유리창에 물들고
가을날에 사랑이
눈물에 어리네
내 마음은 조약돌
비바람에 시달려도
둥글게 살아가리
아무도 모르게
여름가고 가을이
유리창에 물들고
가을날에 사랑이
눈물에 어리네
내 마음은 조약돌
비바람에 시달려도
둥글게 살아가리
아무도 모르게",유상록,1999.01.01,4,발라드
단발머리,"그 언젠가 나를 위해
꽃다발을 전해주던 그 소녀
오늘따라 왜 이렇게
그 소녀가 보고싶을까
비에 젖은 풀잎처럼
단발머리 곱게 빗은 그소녀
반짝이는 눈망울이
내 마음에 되살아 나네
내마음 외로워질때면
그날을 생각하고
그날이 그리워질때면
꿈길을 헤매이는데
오 호 오 못잊을
그리움 남기고 그소녀 데려간
세월이 미워라
우우우우 우우우우

내마음 외로워질때면
그날을 생각하고
그날이 그리워질때면
꿈길을 헤매이는데
오 호 오 못잊을
그리움 남기고 그소녀 데려간
세월이 미워라
우우우우 우우우우",유상록,2001.04.01,1,발라드
나는 너 좋아,"아직은 사랑을 몰라 몰라
그래도 우리는 좋아 좋아
알수없는 너의 고백이
내 가슴을 뛰게 하지만
그런 말은 너무 어려워 싫어 싫어
남들이 나보고 말하기를
귀여운 웃음이 좋다나요
그러나 이제는 안그래요
나만의 비밀이 생겼어요
하지만 나는 너 좋아 사랑일지도 몰라
하지만 나는 너 좋아 사랑일지도 몰라
아직은 사랑을 몰라 몰라
그래도 우리는 좋아 좋아
알 수 없는 너의 고백이
내 가슴을 뛰게 하지만
그런 말은 너무 어려워 싫어 싫어
남들이 나보고 말하기를
귀여운 웃음이 좋다나요
그러나 이제는 안그래요
나만의 비밀이 생겼어요
하지만 나는 너 좋아 사랑일지도 몰라
하지만 나는 너 좋아 사랑일지도 몰라
하지만 나는 너 좋아 사랑일지도 몰라
랄랄라 랄라라 랄라 랄랄라 랄라라라",유상록,2001.04.01,3,발라드
촛불,"그대는 왜 촛불을 키셨나요

그대는 왜 촛불을 키셨나요

연약한 이 여인을
누구에게 말할까요
사랑의 촛불이여
여인의 눈물이여
너마저 꺼진다면
꺼진다면 꺼진다면
바람아 멈추어라
촛불을 지켜다오
바람아 멈추어라
촛불을 지켜다오
연약한 이 여인을 누가 누가
누가 지키랴

그대는 왜 촛불을 키셨나요
그대는 왜 촛불을 키셨나요
끝없는 그 이름을
누구에게 말할까요
철없는 촛불이여
외로운 불빛이여
너마저 꺼진다면
꺼진다면 꺼진다면
바람아 멈추어라
촛불을 지켜다오
바람아 멈추어라
촛불을 지켜다오
연약한 이 여인을 누가 누가
누가 지키랴",유상록,2001.04.01,1,발라드
꿈,"화려한 도시를 그리며 찾아왔네
그곳은 춥고도 험한곳
여기저기 헤매다 초라한 문턱에서
뜨거운 눈물을 먹는다
머나먼 길을 찾아 여기에
꿈을 찾아 여기에
괴롭고도 험한 이길을 왔는데
이세상 어디가 숲인지
어디가 늪인지 그누구도 말을 않네
사람들은 저마다 고향을 찾아가네
나는 지금 홀로 남아서
빌딩속을 헤매다 초라한 골목에서
뜨거운 눈물을 먹는다
저기 저별은 나의 마음 알까
나의 꿈을 알까
괴로울땐 슬픈 노래를 부른다
슬퍼질땐 차라리 나홀로
눈을 감고 싶어 고향의 향기
들으면서

저기 저별은 나의 마음 알까
나의 꿈을 알까
괴로울땐 슬픈 노래를 부른다
이세상 어디가 숲인지
어디가 늪인지 그누구도 말을 않네
슬퍼질땐 차라리 나홀로
눈을 감고 싶어 고향의 향기
들으면서
고향의 향기 들으면서",유상록,2001.04.01,3,발라드
너이길 바래,"I want a baby tonight

있어줘 그냥 지금처럼 곁에
보여줘 그냥 너의 그 마음을
말해줘 그냥 날 사랑한다는
그 말을
저기 높은 하늘 위로
날아가는 새들이 내눈에 들어와
너와 내가 영원히 하나가 되어
Make one the
best couple in the world
그댈 보면 가슴이 떨려
너무 기쁜 마음에 눈물이 흘러
My feeling like a heaven
in the lucky seven
너이길 바랬어 나의 사랑은
그러길 바랬어 나의 마음도
아니길 바랬어 다른 사람은
그러길 바랬어 너의 마음도
나이길 바래
가만히 눈을 감아 내
앞에 그녀를 상상해 그대
위로 햇살 넓은 들판에
크나큰 나무 한 그루
그아래 우리둘
Just the two of us
기지개를 펴며 우리 함께 쉬는한숨
향긋한 꽃 내음
상쾌한 이 기분
내 옆에 있는 너를
한껏 안아 줄 꺼야
모든 내 모든 것들을
네게 보여주고 싶은 내 맘을
이런 내 맘을 알겠니 워우워
나 여자친구 생겼는데
너무나 이쁘고 무지하게 착하고
내게 누구보다 잘해 주는 여자애야
그래 그래 너 잘났다
나는 어째 요모양인지
나에게 자랑 좀 해봐
이세상 누구와도 바꿀수없는 그녀
그냥 함께 있고 싶어지는 내맘
와 좋겠다 나의 님은 어디에
너만 말고 나좀 도와주라
넌 예전처럼 그냥
난 지금처럼 그냥
이제 서로에게 항상
함께 할 수 있는 날에
우리 행복할 수 있도록 제발
이대로 이길 바랬어 나의 사랑은
그러길 바랬어 나의 마음도
아니길 바랬어 다른 사람은
그러길 바랬어 너의 마음도
너이길 바랬어 나의 사랑은
그러길 바랬어 나의 마음도
아니길 바랬어 다른 사람은
그러길 바랬어 너의 마음도
너이길 바랬어 나의 사랑은
그러길 바랬어 나의 마음도
너이길 바래",JS,2002.03.13,57,발라드
석별,"떠나는 이 마음도 보내는 그 마음도
서로가 하고 싶은 말 다할 수는 없겠지만
그래도 꼭한마디 남기고 싶은 그 말은
너만을 사랑했노라 진정코 사랑했노라
사랑의 기쁨도 이별의 슬픔도
이제는 너와나 다시 잃을 수 없지만
그래도 꼭 한마디 남기고 싶은 그 말은
너만을 사랑했노라 진정코 사랑했노라

사랑의 기쁨도 이별의 슬픔도
이제는 너와나 다시 잃을 수는 없지만
그래도 꼭 한마디 남기고 싶은 그 말은
너만을 사랑했노라 진정코 사랑했노라",김건모,2004.09.03,114,발라드
기억뿐인 곳에서..,"오늘도 혼자 있는 나에게
슬픔 같은 건 느낄 수 없죠
마치 사랑없이도
살아갈 수 있는 사람같아서
그 누구도 내 눈물을 못 본거죠
하루일과를 마치면 너에게 전화를 해
어디서 만날까 저녁은 무얼 먹을까
어서 만날 생각에 서두르는
내가 익숙해
하지만 지금 이렇게
느린 걸음으로 혼자 걷죠
기억뿐인 곳에서
지금껏 아무도 모르겠죠
아픔같은 건 숨기면 되요
마치 사랑했던 일은
모두 잊은 듯이 좋아보여서
그 누구도 내 뒷모습 못 본거죠
기억도 그만 접어요
하나도 남김없이
추억에도 없게 눈부시게 지워내고
모르는 사람으로 다시
태어날 수 있다면
처음부터 잘 할텐데
다른 사람땜에 안 울텐데
내 사랑밖엔 모르고
너를 비참하게 만들었던
거라면 용서하기를
기억도 그만 접어요 하나도 남김없이
내가 준 상처도 흔적없이 이겨내고
모르는 사람으로
다시 태어날 수 있다면
많이 웃게 해 줄텐데
다른 사람땜에 안 울텐데
널 잃지 않을텐데 그런 일 없을텐데",이수영,2004.09.09,154,발라드
Silent Eyes,"안개속에 싸인 그길을
나홀로 나홀로
아픔을 위로해 주는 그의
따스한 숨결이

길게 늘어트린 영혼의
날 붙들어 감싸네
한숨많은 나의 눈물이
다 내게서 흩어져갈
아픔들이 내머리속 가득한데
Silent eyes in me
나를 씻겨 안아줄 그 속삭임들
난 영원히 미쳐 끝내지 못한
그 약속들이
곤하고 병들어 지친 너의
두손을 잡아줄
너를 아프게한 외면도
다 타버릴 그 곳에서
빛을 밝혀 내 앞길을 비추는데
Silent eyes in me
나를 씻겨 안아줄 그 속삭임들
난 영원히 미쳐 끝내지 못한
그 약속들이
항상 혼자였던 나인데
혼잣말로 했던 외침들
그대 살아있다면
날 사랑한다면 도와달라고

Silent eyes in me
지쳐 쓰러진 나를 곧 일으켜줄
늘 함께한 그의
소중한 맘을 깨닫지 못해
Silent eyes in me
나를 씻겨 안아줄 그 속삭임들
난 영원히 미쳐 끝내지 못한
그 약속들이",이수영,2004.09.09,141,발라드
Misty...,"너를 이해할 수 없지만
널 사랑했었어
나만 바라보길 원한다면 욕심인거니
갖고 싶은만큼
참아온 긴 체념의 날들
끝없는 이별을 준비하게 해
Why 오랜 추억으로도 내 사랑으로도
너의 곁으로 왜 갈 순 없는지
더는 견딜수 없어 더는 자신이 없어
닿을 수 없는 먼 곳으로
늘 달아나는 널
사랑하긴 하는지
이렇게 아픈 날 알긴 아는지
안개에 가려진 그 맘
이제 내게 보여줘
너의 뒷 모습은 언제나
날 불안하게 해
다시는 나에게 돌아오지 않을것처럼
꺼져있는 너의 전화는
날 상상하게 해
내게 숨겨야할 사랑있는지
여전히 니 맘속에
내가 머물 자린 없는지
아무리 애를 써도
내 것 일수 없는지
도무지 이해할 수 없는 니
마음속에 누가 있는지
언제나 함께해도 항상 외롭기만 해
더는 견딜수 없어 더는 자신이 없어
닿을 수 없는 먼 곳으로
늘 달아나는 널
사랑하긴 하는지
이렇게 아픈 날 알긴 아는지
안개에 가려진 그 맘
이제 내게 보여줘
무슨 말이 더 필요해
나의 사랑 알잖아
이제 더는 망설이지마
사랑하지만 내가 전부일 수 없는 너
곁에 있어도 언제나
나를 혼자이게 해
사랑하긴 하는지
이렇게 아픈 날 알긴 아는지
안개에 가려진 그 맘
이제 내게 보여줘
아닐 거라고 수없이
나의 머릿속에 되뇌어
나의 착각이라고 나의 집착이라고
내 작은 오해가
그녈 힘들게 할수도 있겠지만
더 이상 니 마음을 내게
숨기려 하지마
말해줘 now tell me tell me tell me",K-Pop,2004.09.22,94,발라드
Dear My Love,"아름다워요 오늘 그대의 모습이
눈부신 햇살아래 한 송이 흰 꽃처럼
많은 사람들과 환하게 웃는
그 얼굴 언제 봐도
날 행복하게 하죠
행복한가요 그 미소 그대로 우
영원히 나의 곁을 떠나는 오늘
이젠 내가 아닌 사람이 기다리네요
나를 등 뒤로 그에게 걸어가겠죠
자꾸만 왜 돌아보나요
날 찾고 있나요
달려가 안아줄 수도 없는데
안돼요 못난 나의 사랑은
모두 잊어버려요
이제 한 방울 눈물도
닦아줄 수 없는 난
이렇게 그대 맘 알면서도
그대 손을 잡고서
멀리 달아날 용기조차 없는 나죠

자꾸만 왜 망설이나요 날 기다리나요
그대 손 내밀어 반질 받아요
안돼요 못난 나의 사랑은
모두 잊어버려요
이제 한 방울 눈물도
닦아줄 수 없는 난
이렇게 그대 맘 알면서도
그대 손을 잡고서
멀리 달아날 용기조차 없는 나죠
원망하고 또 미워해요
나를 잊고 행복할 수 있다면

여전히 검게 빛나던 눈에서
흘러 내리던 눈물도 못본척
고개 숙이지만 그대 보내줘
몇걸음만 더 걸어가
우리 기억 모두 잊고서
몇걸음만 지나쳐가
그대 앞에 있는 사람에게로
모두들 축복하네요
눈부시게 아름다운 그대 모습
그 속에 내가 있어요
아무 말도 아무 생각도 없이",K-Pop,2004.09.22,48,발라드
애가(愛歌),"산다는건 힘든거겠지
당신없이 살아가는일
견딜수 없이 힘든 가슴에
메마른 눈물이
헤어지는 슬픈 그대
그대볼 수 없는 아픔에
무너져가는 텅빈 가슴
그대를 묻어두고
바람이 불면
그대도 떠나갈까
눈물로 지세우며
기다리는 내 마음 기억해줘
세월에 지쳐 쓰러지지 않도록
사랑하는 사람아 돌아와줘요
눈물로 얼룩진 영혼이
미소질 수 있게

바람이 불면
그대도 떠나갈까
눈물로 지세우며
기다리는 내 마음 기억해줘
세월에 지쳐 쓰러지지 않도록
사랑하는 사람아 돌아와줘요
눈물로 얼룩진 영혼이
미소질 수 있게
눈물로 얼룩진 영혼이
미소질 수 있게",윤태규,2002.01.01,15,발라드
다시 시작,"여기는 또 어딘가
너무 멀리 와버렸나
하긴 나첨부터 정해놓고
떠난게 아냐
오 이건 아주 잘된일이야
다시 돌아갈 곳도 없는걸
내 운명이 나 길잃고
헤매일때 친구가 되주는걸
저 그늘아래 숨쉬는
수많은 거짓속에 미쳐
언젠가는 버려질
나를 바라볼 수는 없어
한 걸음 내딛는 그 곳마다
새로운 세상있어
그토록 오랜 방황도
추운 고독도 내가 힘이 될꺼야
서글픈 내 안에 상처들만
이곳에 남겨둔채
다시 또 시작하려는
나에겐 희망이 있어 나 웃을수 있는 걸

이제야 찾은 자유는
내안에 있던거야 그래
힘에 겨워 울고 싶을때
널 지켜줬던거야
한 걸음 내딛는 그 곳마다
새로운 세상있어
그토록 오랜 방황도 시린
고독도 내겐 힘이 될꺼야
서글픈 내 안에 상처들만
이곳에 남겨둔채
다시 또 시작하려는
나에겐 희망이 있어 나 웃을수 있는 걸

내게서 떠나간
그 모든것 미련은 두지 않아
추억에 갇혀살 순 없잖아
어차피 삶은 혼자만의 꿈인 걸",스카이,2004.09.23,31,발라드
나는 너를 B,"시간만 흘러서 가는
넓은 바닷물이 되듯이
세월이 흘러 익어간
사람 가슴속에 메워있었네
그토록 믿어 온 사랑
내 마음에 믿어온 사랑
지금은 모두 어리석음에
이젠 너를 떠나간다네
저녁노을 나를 두고 가려나
어서 가려나 내 모습 감추게
밤하늘에 찾아오는 별들에
사랑이야기 들려줄꺼야
세월이 흘러서 가면
내 사랑 찾아 오겠지
모두 다 잊고 떠나가야지
보금자리 찾아가야지

저녁노을 나를 두고 가려나
어서 가려나 내 모습 감추게
밤하늘에 찾아오는 별들에
사랑이야기 들려줄꺼야
세월이 흘러서 가면
내 사랑 찾아 오겠지
모두 다 잊고 떠나가야지
보금자리 찾아가야지
보금자리 찾아가야지",스카이,2004.09.23,31,발라드
사랑하니까,"다시 니가 떠오를땐
혼자 인걸 잊으려고
누구라도 불러내
약속을 만들지
니가 보고싶을땐
내맘도 잊으려고
차라리 술에 취해 버리지
니생각에 눈물이 날땐
미친듯이 달려보곤해
그렇게라도 내 안에 찬 눈물을
다 흘리고 싶어
날 떠나가지만
사랑은 멈추질 않는지
널 미워하려고 애써봐도
더해만 가는 그리움
참 우린 좋았어
그래서 더 힘이 드는걸
그래도 참을께
착한 니가 맘편히 떠날 수 있게
사랑하니까

행복하단 너의 소식에
귀를 막고 가슴을 닫지
듣고 싶지도 믿고 싶지도 않아
다 거짓이라고
날 떠나가지만
사랑은 멈추질 않는지
널 미워하려고 애써봐도
더해만 가는 그리움
참 우린 좋았어
그래서 더 힘이 드는걸
그래도 참을께
착한 니가 맘편히 떠날 수 있게
한번쯤 너도 나처럼 그리워 했을까
다 잊진 말아줘
우린 서로 전부였던 지난 날
애쓰지 않아도 잊혀져 갈 날은 올꺼야
나 그 순간까지 할 수 없어
그리움을 삼키며 살게 될꺼야",스카이,2004.09.23,54,발라드
거봐,"아무렇지 않은 척
오히려 태연한 척
이별은 언제나 내게
억지 연극을 하게 해
대체 이런 게
무슨 소용 있냐고
왜 이래야 하냐고
왜 잡지도 못한거냐고 항상
속으로 다그쳐 봐도
난 알고 있기 때문에
떠날 사람은 어떻게 해봐도
떠나기 마련인 걸
지겹도록 겪어봐서 알기에
이별을 난 알기에
거봐 울어도
넌 가고 있잖아 또
처음으로 용기낸 널 잡아봐도
거봐 넌 멀어지고 있잖아
이별이잖아 항상
이랬잖아 어김없이
차라리 그냥 웃어보일 걸
이럴거면

어차피 거봐
울어봐도 넌 가고 있잖아 또
처음으로 용기낸 널 잡아봐도
또 역시 넌 멀어지고 있잖아
이별이잖아 항상
이럴거면
그냥 애써 웃어보일 걸
초라한 내가 밉지 않게
웃어보일 걸
초라한 내가 밉지 않게",김현성,2004.10.04,39,발라드
끝내지 못한 이별,"아무 일도 없던 것처럼
너를 다시 보고 싶은데
너무 많은 생각에 다시 고갤 저으며
아직 난 니안에 갇혀 살고 있어
돌아보면 웃음이 나와
웃다보면 눈물이 나고
다시 돌아오라고 이젠 달라졌다고
애원하면 니가 내게서 멀어질까봐
이렇게 아무말 못하고 기다려야 하는
내 모습이 너무 초라해져서
언젠간 내게 돌아온다고
내가 나를 위로 하지만
다시 또 내 눈엔 눈물이 흘러

이별이 뭔지도 몰랐어
헤어지잔 말을 건넨건
잠시 화가 났기에 모진 말을 했을 뿐
내가 네게 원한 건 이별이 아니었는데
이렇게 아무말 못하고 기다려야 하는
내 모습이 너무 초라해져서
언젠간 내게 돌아온다고
내가 나를 위로 하지만
다시 또 내 눈엔 눈물이 흘러

오늘도 난 널 기다리고 있어",오세준,2004.10.07,17,발라드
그대를 사랑합니다 (Love Song),"어색하지만 많이 망설였지만
참을 수가 없었어
그대를 바라는 내 맘이
내 안에 점점 커져서
어젯 밤 내가
만나자는 전화하고
많이 후회했었어
다시 네게 전화걸어 아프다고
핑계대려고도 했었어
너무 겁이 나고 떨려와서
사랑해 날 받아주겠니
쉽게 얘기할 그런 게 아니야
그대에게 걸어갈 길을 열어주겠니
그대를 정말 사랑하니까

오래전부터 나 오늘 같은 날이 오면
나직한 목소리로
사랑해
넌 나의 전부야 멋지게 말하려했어
하지만 지금 너의 얼굴 앞에 서니
심장이 터질 듯해
한 마디에 술 한 모금 또 한 모금
무슨 말을 하고 있는지
너무 숨이 차고 떨려와
사랑해 날 받아주겠니
겨우 내뱉은 목소리 떨려도
니가 나의 진심만 알아줄 수 있다면
정말로 나는 행복할텐데
너를 처음 만나고
너를 사랑한다는 그 감정이
나의 지루한 하루하루를
너무나도 많이 바꿔놓았어

사랑해 날 받아주겠니
쉽게 얘기할 그런 게 아니야
그대에게 걸어갈 길을 열어주겠니
그대는 정말 나의 전부야
그대를 정말 사랑합니다",성진우,2004.10.12,15,발라드
연기,"가지말라고 네게 말했지
하지만 나를 떠났어
눈물 보이며 끝까지
네게 얘기했지만 떠났어
믿을 수 없었어 혼자라는 게
아무리 믿어보려해도
너는 내 모습 어떤 시간도
아무런 의미없는데
내뿜어진 연기 속에
너를 떠나보내고
홀로 남아서 그리워하는데
꺼져가는 노을처럼 사랑도 식어가네
이젠 보낼게 너를 보낼게

너무나 미안해 나는 너에게
행복을 줄 수 없었나 봐
너의 그 웃음도 너의 향기도
더 이상 내겐 없겠지
내뿜어진 연기 속에
너를 떠나보내고
홀로 남아서 그리워하는데
커져가는 노을처럼 사랑도 식어가네
이젠 보낼게 너를 보낼게
아픔 속에 슬픔 속에
나를 버려두지마
니가 없는 난 숨쉴 수 없는데
떠나지마 버리지마 나를 혼자두지마
이젠 묻을게 가슴 깊이

너를 놓을게",성진우,2004.10.12,5,발라드
살아야지 (Piano Ver.),"산다는건
참 고단한 일이지
지치고 지쳐서
걸을 수 없으니
어디쯤인지
무엇을 찾는지
헤메고 헤메다
어딜 가려는지
꿈은 버리고
두발은 딱 붙이고
세상과 어울려
살아가면 되는데
가끔씩 그리운
내 진짜 인생은
아프고 아파서
참을 수가 없는 나
살아야지 삶이 다 그렇지
춥고 아프고 위태로운거지

꿈은 버리고
두 발은 딱 붙이고
세상과 어울려
살아가면 되는데
날개 못 펴고
접어진 내 인생은
서럽고 서러워
자꾸 화가 나는 나
살아야지 삶이 다 그렇지
작고 외롭고 흔들리는거지",임재범,2004.10.12,196,발라드
Happy Birthday To Me,"happy birthday to me

설레이며 눈을 뜨겠죠 돌아올거란 생각에
약속했던 오늘 잊었나봐요 자꾸 시계만 보죠
거리엔 행복한 연인들의 웃음 속에
그대가 줬던 반지를 받았고 다가 찼던 우리
happy birthday to me 혼자 말을하고
케익위에 촛불을 켜고 텅빈 자릴 보며
사랑한다고 고백하고 있죠
수화기를 들어 그대의 목소리를 듣고싶어
머뭇거리다가 끊어 버리고 주저앉고 말았죠
거리엔 행복한 연인들의 웃음속에
그대가 줬던 반지를 바라보다가 참았던
눈물이 흘러
happy birthday to me 혼자 말을하고
케？揚㎰？ 촛불을 켜고 텅빈 자릴 보며
사랑한다고 고백하고 있죠
주위를 둘러봐도
그대가 보이지 않아요
눈가에 번지는 눈물 ？？문에 이별을 알았죠",혜령,2004.10.15,66,"발라드, R&B/Soul"
But I Love You,"어느샌가 다시 또 밤
열두시 시계도 보다
그 옆에 놓여진 전화기만 봐
나도 모르게 자꾸 수화길 드는
내 손을 말려보려하지만

내게 깊게 배인 습관처럼
아무런 이유도 없이 또 다시
니 번홀 돌리는 난
도대체 왜 이러는지 몰라

Do wanna the black to you
Do wanna see you
이제는 정말 싫어 너무 힘들어
Do wanna love you
but I love you.. but I love you

Do wanna have long to you
Do wanna want you
모두다 잊고 싶어 지우고 싶어
Do wanna miss you
But I miss you but I miss you


이게 몇번을 내어잡았지만
몇번을 결심했지만
언제나 다시 제자리로 돌아오고 말아
왜 이렇게 미련하게 널 사랑하는지

아니면 널 이렇게 해선 안 된다는 걸 알면서
알면서 왜 이래 도대체 왜 이러는지 몰라

Do wanna the black to you
Do wanna see you
이제는 정말 싫어 너무 힘들어
Do wanna love you
but I love you.. but I love you

Do wanna have long to you
Do wanna want you
모두다 잊고 싶어 지우고 싶어
Do wanna miss you
But I miss you but I miss you

왜 내가 널 떠나지 못하는지
매일 이렇게 아파하면서
결국엔 안될걸 잘 알면서
내 상처는 더 깊어져만 가는데
시간이 가면 갈수록 더욱 더 힘들텐데

Do wanna the black to you
Do wanna see you
이제는 정말 싫어 너무 힘들어
Do wanna love you
but I love you.. but I love you

Do wanna have long to you
Do wanna want you
모두다 잊고 싶어 지우고 싶어
Do wanna miss you
But I miss you but I miss you

But I Love you",비,2004.10.08,146,발라드
Biggest Thing,"People say I have everything
Then why do I feel empty

집에 또 돌아와서
항상 않는 쇼파에 앉아
어떻게 간지 모르는
하루에 또 긴 한숨만 나와
그렇게도 원했던
노래를 부르고 있는데
그렇게도 원했던
내 음악이 울려 퍼지는데

(왜 난 이러고 있는지
왜 난 계속 허전한지)
왜 왜 내 맘이 이렇게 텅 빈 건지
(뭐를 기다리는 건지
뭐를 찾고 있는 건지)
Why why am I still feeling empty inside.

내 마음을 다 알아줄
집에 오면 날 안아줄
날 항상 웃게 해줄
그런 사람이면
흔들릴 때 날 잡아줄
넘어질 때 일으켜줄
내 영혼을 쉬게 해줄
그런 사람이면

그런 사람 있으면
This is the biggest thing
that I'm missing in my Life


거울에 비친 나를
가만히 바라보고 있어
아무 느낌이 없는
미소를 잃어버린 내 얼굴
꿈에 그리던 예쁜 집이
왜 쓸쓸해 보이는지
꿈에 그리던 생활이
왜 뭔가 빈 것만 같은건지

(TV 이젠 켜기 싫어
책들 이젠 펴기 싫어)
나 누군가 이젠 필요한 가봐
(텅 빈 집이 너무 싫어
혼자 잠이 들기 싫어)
Now now I need someboby right by my sidel

내 마음을 다 알아줄
집에 오면 날 안아줄
날 항상 웃게 해줄
그런 사람이면
흔들릴 때 날 잡아줄
넘어질 때 일으켜줄
내 영혼을 쉬게 해줄
그런 사람이면

그런 사람 있으면
This is the biggest thing
that I'm missing in my Life

All my life 언제나 난 혼자였어
혼자서 다 이겨내야 했어
내 자신과 그리고 나
이제는 그러기 싫어

내 마음을 다 알아줄
집에 오면 날 안아줄
날 항상 웃게 해줄
그런 사람이면
흔들릴 때 날 잡아줄
넘어질 때 일으켜줄
내 영혼을 쉬게 해줄
그런 사람이면

그런 사람 있으면
This is the biggest thing
that I'm missing in my Life",비,2004.10.08,177,발라드
