제목,가사,가수,발매일,좋아요수,장르
내 사랑 내 곁에 (원곡가수 김현식),"나의 모든 사랑이 떠나가는 날이
당신의 그 웃음 뒤에서
함께 하는데
철이 없는 욕심에 그 많은 미련에
당신이 있는 건 아닌지
아니겠지요
저 여린 가지 사이로 혼자인
날 느낄 때
이렇게 아픈 그대 기억이 날까
내 사랑 그대 내 곁에 있어줘
이 세상 하나뿐인 오직 그대만이
힘겨운 날에 너마저 떠나면
비틀거릴 내가 안길 곳은 어디에
저 여린 가지 사이로 혼자인
날 느낄 때
이렇게 아픈 그대 기억이 날까
내 사랑 그대 내 곁에 있어줘
이 세상 하나 뿐인 오직 그대만이
힘겨운 날에 너마저 떠나면
비틀거릴 내가 안길 곳은 어디에
비틀거릴 내가 안길 곳은 어디에",오세준,2012.11.30,32,발라드
보고싶다 (원곡가수 김범수),"아무리 기다려도 난 못가
바보처럼 울고 있는 너의 곁에
상처만 주는 나를 왜 모르고
기다리니 떠나가란 말야
보고 싶다 보고 싶다 이런
내가 미워질 만큼
울고 싶다 네게 무릎 꿇고
모두 없던 일이 될 수 있다면
미칠 듯 사랑했던 기억이
추억들이 너를 찾고 있지만
더 이상 사랑이란 변명에
너를 가둘 수 없어
미칠 듯 사랑했던 기억이
추억들이 너를 찾고 있지만
너를 가둘 수 없어
이러면 안 되지만 죽을 만큼
보고 싶다
보고 싶어",티나,2012.11.30,45,발라드
Y2K (Yesterday 2 Kiss),"널 기억해 Flavor Mint face
이렇게 갑자기 모른척 하면
눈앞이 하얘진 느낌을
잊을 수가 있는거니
널 알고 싶어서 바보처럼 조금 더
늦기전에 kissing your smile
무너진 내 모습 이런 내 맘 정말
모르겠니
너무나 떨려 숨쉴 수 없어
난 아무것도 바랄게 없어
야릇했던 너의 미소 못된
상상만해도 숨이가빠 행복해져
이러면 안돼 외면해봐도
널 지울 수가 없는걸
미친듯 너를 불러보아도
넌 또 들리지가 않나봐
<간주중>
온 종일 널 잊지도 못하고
초라한 내 기도 숨기려해도
멍하니 두 눈을 감아도
니 모습만 보이는걸
살짝 번진듯한 아이샤도
내 안에 멍이되어 버린 사랑
죽을것 같은데 왜
넌 모르는 척 하는거니
너무나 떨려 숨쉴 수 없어
난 아무것도 바랄게 없어
야릇했던 너의 미소 못된
상상만해도 숨이가빠 행복해져
이러면 안돼 외면해봐도
널 지울 수가 없는걸
미친듯 너를 불러보아도
넌 또 들리지가 않나봐
난 못난 사람인가봐 또다시
이렇게 널 보내는게
잊으려해도 자꾸
내 맘처럼 안되잖아
<간주중>
이러면 안돼 외면해봐도
널 지울 수가 없는걸
미친듯 너를 불러보아도
넌 들을수 없는건가봐",고재근,2012.12.04,64,발라드
흔한 사랑,"멀어지는 네 모습을 보며
흐르던 두 밤에 눈물이
가로수길을 지나 함께 했던
시간너머로 다시
또 흘러내리고
기억이 지워진다고
추억도 잊혀질 줄 알았어
가슴속 깊이 널 묻어야 했지만
미칠 듯 그리웠었지
사랑한다 이말 한마디
흔한 사랑이지만
날 대신 할 수 있을까
힘들었던 내 지난날의
사랑과 기억 속
아름다운 그대
기억이 닿지 못하게
추억도 찾을 수 없는곳에
나도 모르게 널 찾지 못 하도록
미친 듯 밀어 냈었지
사랑한다 이말 한마디
흔한 사랑이지만
날 대신 할 수 있을까
힘들었던 내 지난날의
사랑과 기억 속
아름다운 그대
다시 네가 돌아와 준다면
이제는 널 보내지 않을께
이제는 네게 말할 수 있어
영원히 널 놓지 않겠다고
사랑한다 이말 한마디
흔한 사랑이지만
날 대신 할 수 있을까
이제와 소리쳐 본다
그 흔한 사랑이라도
한 번도 말해주지 못해서
미안하다는 그말 한마디
아파하는 너에게
위로가 될 수 있을까
힘들었던 내 지난날의
사랑과 기억 속
아름다운 그대
기억 속 아름다운 그대",윤성,2012.12.04,45,발라드
사랑한다 더 사랑한다,"너무 그리울수록
사랑이란 걸 알았지
또 다른 사랑으로
날 숨기기도 했었어
너를 닮은 사람 때문에
미친 듯이 따라 갈때마다
한번만 꼭 한번만이라도
너이길 바랬었다
아직도 내곁엔 너의 목소리와
그 미소가 남아 있는데
우린 얘기할 수도
웃을 수도 없잖아
내게 남겨진 사랑은
너 하나뿐이란 걸 알았을때
그대 날 다시 찾아 올 거라고
나는 믿고 싶어
사랑한다 더 사랑한다
끝없이 부르고 싶다
이젠 가슴으로 부를 노래는
그대뿐이기에
사랑한다 더 사랑한다
영원히 부르고 싶다
이젠 가슴으로 부를 이름은
그대이기에
너를 정말 사랑했다고
미치도록 사랑했었다고
한번만 꼭 한번만이라도
너에게 말하고 싶다
왜 널 생각하기만 하면
먼저 눈물이 흘러 내릴까
이젠 보고 싶어도
만날 수 없기 때문에
내게 남겨진 사랑은
너 하나뿐이란 걸 알았을때
그대 날 다시 찾아 올 거라고
나는 믿고 싶어
사랑한다 더 사랑한다
끝없이 부르고 싶다
이젠 가슴으로 부를 노래는
그대뿐이기에
사랑한다 더 사랑한다
영원히 부르고 싶다
이젠 가슴으로 부를 이름은
그대이기에
사랑한다
끝없이 부르고 싶다
이젠 가슴으로 부를 노래는
그대뿐이기에
사랑한다 더 사랑한다
영원히 부르고 싶다
이젠 가슴으로 부를 이름은
그대이기에",윤성,2012.12.04,22,발라드
아리랑 (Feat. SeeU),"아리아리랑 아리랑
아리아리랑 아리랑
아리아리랑 아리랑
아리아리랑 아리랑
니가 나한테 좀
잘하라고 그랬지
그런 넌 내게 뭘
그리 잘했는데
매일 넌 매일 똑같은
핑계를 대고
나를 외롭게
만들고 있잖아
I don't meed to
see you anymore
Let me give up
sicked up this love
It would be bumpy boy
이젠 니가 나의 곁에
없는 게 익숙해져 버렸어
Can you feel me Ariramg
Do you live me Arirang
그런 니가 나도
이젠 필요없어
For me Arirang
Go away from me Arirang
차라리 나를 떠나가줘
아리아리랑 아리랑
아리아리랑 아리랑
아리아리랑 아리랑
아리아리랑 아리랑
미래 미래 그놈의
지겨운 미래드립
그만 좀 어따
갖다 버리면 안 돼
현실 현실이 뭐
어쨌다고 그러는데
나만큼만 자신감을
가져보면 어때
너는 이것도 잔소리
잔소리 잔소리라고 하겠지
하지만 나는 진심이야
난 그렇게 인내심이
많은 여자가 아니란 것을
너도 이미 알고 있잖아
모른다고 끝나는
문제가 아니야
내 말 무슨
말인지 알겠지
몇 번 만나고
헤어진 내 친구 말이
연애는 오래
할 게 못 된대
애인이 있는데
나는 항상 외로워
우린 뭔가 잘못
돼가고 있잖아
I don't wanna feel
this loneliness
Just like the like the others
I'm a girl am a gril
뭐가 그리 중요한
일이 많니 나보다 중요하니
Can you feel me Arirang
Do you love me Arirang
이제 차근차근
내 맘도 지쳐가
For me Arirang
Will you see me Arirang
제발 나를 좀 붙잡아줘
나도 알아 네 맘
변치않는다는걸
하지만 넌 아니
이 순간 이렇게
난 니가 필요한데
Can you feel me Ariramg
Do you live me Arirang
이젠 내맘도
차갑게 식어가
For me Arirang
Go away from me Arirang
차라리 나를 떠나가줘
Please love me Arirang
Will you see me Arirang
Do you want me Arirang
Really love me Arirang
제발 나를 좀 붙잡아줘
아리아리랑 아리랑
아리아리랑 아리랑
아리아리랑 아리랑
아리아리랑 아리랑",가게인,2012.12.05,141,발라드
그 사랑이 뭔데,"가슴 속에 사는 그 사람
아플 때면 곁에 있었던 사람
쉬운 인사조차 하지 못해
하루 종일 집 앞을 서성이던
수줍게 웃던 그 사람
우습게 그에게 빠졌죠
흔한 자존심도 내겐 없었나봐요
허락도 없이
가슴에 담겨 울게 해 놓고
이제와서 나보고 어떡하라고
그 사랑이 뭔데
괜한 사람 흔들어 놓고
그 사랑이 뭔데
매일 술만 마시죠
다 자기 멋대로
다시 지워달라는 냉정한 그 말
한 번 더 말하면
두 번 더 말하면
나 죽을지도 몰라
보고싶어 잠을 못 자요
이젠 혼자서는 밥도 맛이 없어요
숨을 쉬듯이
어느 순간 습관인 사람
이제와서 나혼자 어떻하라고
그 사랑이 뭔데
괜한 사람 흔들어 놓고
그 사랑이 뭔데
매일 술만 마시죠
다 자기 멋대로
다시 지워달라는 냉정한 그 말
한 번 더 말하면
두 번 더 말하면
나 죽을지도 몰라
이제와서 원망도
이제와서 미움도
무엇 하나 소용 없다는걸
나도 알고는 있잖아
해가 가서 시간이
많이 흐르고 나면
많은 이별중에 하나라도
나 웃을 수 있을텐데
그 이별이 뭔데
괜한 가슴 흔들어 놓고
그 이별이 뭔데
매일 눈물 마시죠
다 자기 멋대로
다시 지워달라는 냉정한 그 말
한 번 더 말하면
두 번 더 말하면
나 죽을지도 몰라
두 번 다시 누굴 아프게 마요",김장훈,2012.12.06,138,발라드
영화처럼,"그냥 웃어넘기면 돼
내 미련 때문에 널
붙잡을 수 없어 나답지 않잖아
뒤돌아서면 돼
그리 쉽지 않지만
시간이 흐르면 날 이해할거야
널 바라보고 있으면
난 두려워져
널 지킬 수 있는 방법을 몰라서
널 내 곁에 두려하는 건
욕심이란 걸 인정하니까
이제 널 보내려해
늘 영화처럼 사랑을 꿈꾸던
그 시절이 아련해지는 건
내 모습이
니 앞에만 서면 더
현실에 초라해 보이니까
만약 영화처럼 우리 이별을
할 수만 있다면
조금은 편할 텐데 왜
가슴이 터질 것만 같은지 네겐
널 잡을 수 있는 이유가 필요해
지금 내겐
왜 자신에게 더 솔직하지 못해
말하지 않아도 느껴지는데
왜 혼자서만 모든 걸 안으려해
이렇게 내가 늘 곁에 있는데
상처뿐인 우리에겐 지금
누구보다 서로가 필요해
완벽한건 바라지 않아
그저 지금처럼만
곁에 있어주면돼
널 바라보고 있으면
난 두려워져
널 지킬 수 있는 방법을 몰라서
널 내 곁에 두려하는 건
욕심이란 걸 인정하니까
이제 널 보내려해
늘 영화처럼 사랑을 꿈꾸던
그 시절이 아련해지는 건
내 모습이
니 앞에만 서면 더
현실에 초라해 보이니까
만약 영화처럼 우리 이별을
할 수만 있다면
조금은 편할 텐데 왜
가슴이 터질 것만 같은지 네겐
널 잡을 수 있는 이유가 필요해
지금 내겐",김장훈,2012.12.06,82,발라드
Baby Cry,"사랑 아프다
니 가슴엔 난 없나봐
원하고 널 원해도
너는 다른 곳 보고 있어
I can't cry
I can't cry
Let me love
Let me love
I can't cry
I can't cry
Let me love
Let me love
죽을 것 같아
넌 자꾸만 고갤 돌려
미친듯 나 미친듯
내 심장은 너만 원해
바보야 Why Why
나 아닌 사랑으로
나처럼 아파할 거면서
Baby why Baby so cry
사랑해
Don't break my heart
Don't break my love
너 울지마
사랑해
Can take my heart
Can take my love
널 사랑해
바보야 너땜에 눈물이
너땜에 눈물이 나
Oh 바보야
너땜에 아프고
너땜에 아프잖아
울지마
I can't cry
I can't cry
Let me love
Let me love
I can't cry
I can't cry
Let me love
Let me love
죽을 것 같아
넌 자꾸만 고갤 돌려
미친듯 나 미친듯
내 심장은 너만 원해
바보야 Why Why
그렇게 울고있니
이렇게 널 보고 있는데
Baby why Baby so cry
사랑해
Don't break my heart
Don't break my love
너 울지마
사랑해
Can take my heart
Can take my love
널 사랑해
바보야 너땜에 눈물이
너땜에 눈물이 나
Oh 바보야
너땜에 아프고
너땜에 아프잖아
사랑해
Don't break my heart
Don't break my love
너 울지마
사랑해
Can take my heart
Can take my love
널 사랑해
바보야 너땜에 눈물이
너땜에 눈물이 나
Oh 바보야
너땜에 아프고
너땜에 아프잖아
울지마
I can't cry
I can't cry
Let me love
Let me love
I can't cry
I can't cry",TAP,2012.12.10,115,"발라드, 국내드라마"
"Hang Up The Phone (Feat. Ra.D, 인발)","Hey baby 누구한테 callin' now
관심 있는 친구건 남자친구건
상관없고 일단 전화부터 끊어
아까도 또 마주쳤잖아
이래도 우연인 것 같아
이건 아주 특별한 일이지
이렇게들 부르지 destiny
그러니까 일단 전화부터 끊어
Hang up the phone girl
그리고 나와 함께 Hangin' out
Hang up the phone girl
그에게 바쁘다고 말해
그리고 나와 함께 Hangin' out
Hang up the phone girl
Hang up the phone girl
이제부터 어떡할 거냐고
옵션이 많지는 않아
딱 두 개뿐인데
What you gonna say
I think it's time for you to choose
그쪽에 대답을 하든지
아니면 그 전화 끊고
나랑 얘길 하든지
Hang up the phone girl
그리고 나와 함께 Hangin' out
Hang up the phone girl
그에게 바쁘다고 말해
그리고 나와 함께 Hangin' out
Hang up the phone girl
Hang up the phone girl
Hang up the phone girl
Hang up the phone girl
Hang up
Hang up the phone girl
Hang up the phone girl
Hang up the phone girl
Hang up the phone girl",주영,2012.12.11,0,발라드
잊을만하면 (Feat. Teby),"창밖에 비가 내려도
생각나지 않아
보고 싶은 맘도 없어진 듯해
잊혀지나봐
거울에 니가 보여도
전혀 그립지 않아
차갑게 부는 바람처럼
잊혀지겠지
둘이서 걸었던 그길을
나혼자 걷는데
갑자기 니가 너무 생각이나
왜 이러는지
너 없이 잘 지냈었는데
이렇게 나를 찾아와
웃으며 보내 주려고 해봤지만
떠나질 않아
잊었다고 생각했는데
어떻게 너를 지울지
잊을만 하면 떠오르는 넌데
날 떠나가줘
여전히 추억들이 맴돌아
아무리 지워보려해도 안되더라
친구들이 시간이 약이라고
버티라며 술잔만 내밀더라
I can`t eat I can`t sleep
나를 지워내고
잘지내보려고 하겠지
I can`t breath I can`t leave
너도 나와 같은
외로움을 숨기고 있겠지
우리 지난 추억
너무 쉽게 생각했나봐
갑자기 니가 너무나 그리워
왜 이러는지
너 없이 잘 지냈었는데
이렇게 나를 찾아와
웃으며 보내 주려고
해봤지만 떠나질 않아
잊었다고 생각했는데
어떻게 너를 지울지
잊을만 하면 떠오르는 넌데
날 떠나가줘
흔들리지마
이미 끝난 사랑이니까
다른 사랑조차 못하게
날 가두지마
이렇게 마지막까지
떠나지 않고 있어
웃으며 너를 보내줄께
우린 이별했잖아
잊었다고 생각했는데
어떻게 너를 지울지
잊을만 하면 떠오르는 넌데
날 떠나가줘",하현곤 팩토리,2012.12.13,418,발라드
Without You,"두근대는 맘으로
너를 지켜보지만
한 발짝 떼기도 너무 힘든 나인걸
네가 나를 보는 눈빛
달라진 건 없지만
내 마음이 보여질까
난 어색하게 웃는걸
지금 내 마음은
오직 널 향해가는데
너도 나와 같은
생각하고 있음 해
울상짓지 마 내가 웃게 해줄게
지금 이 순간부터
함께하자 말할게
you are naturally have a wonderful world
everything that we can see in dawn
i will fulfill to your mind
how can i working' lively emotion in without you
can't leave without you girl
달콤한 너의 향기 나의 사랑
sweet my heart
how can i working' lively emotion in without you
너에게 다가가 속삭이듯 말할래
오늘은 내 곁에서
나와 함께
이젠 나 용기를 내
너에게로 한 발짝
걸음을 뗀 체로
다시 한번 생각해
네가 나를 보는 눈빛
달라질 것 같지만
좀더 다가가 볼게
잠깐만 나를 봐줄래
i wanna show you my love
작은 마음 모아
모두 다 너에게 girl
i wanna show you my heart
일단 지금 난
너에게 다가갈게
you are naturally have a wonderful world
everything that we can see in dawn
i will fulfill to your mind
how can i working' lively emotion in without you
can't leave without you girl
달콤한 너의 향기 나의 사랑
sweet my heart
how can i working' lively emotion in without you
너에게 다가가 속삭이듯 말할래
오늘은 내 곁에서
harmony 같은 목소리
내 귓가에 울리면
come and talkin' for the beautiful so
i'm in love i wanna be with you
how can i working' lively emotion in without you
can't leave without you girl
너에게 다가가 나의 사랑
sweet my heart
how can i working' lively emotion in without you
너에게 다가가
속삭이듯 말할래
오늘은 내 곁에서
나와 함께",정광문,2012.12.13,20,발라드
Hi December,"Hi December 잘 지내니
너의 모든것이 잘 지내니
Hi December 난 요즘 많이
약해졌어 내 맘이
눈물이 많아지고
시계가 너무 빨리 가
사람이 좋아지면
추억이 되서 떨어져
너의 하늘과 너의 세상이
내 것이 아님을 알았어
I'm walking my way
내 느낌 이대로
널 살아본다 숨이 차오를때 까지
I'm walking my way
내 모습 이대로
널 불러본다 여기서 이렇게
The snow is falling falling
snow is falling falling
snow is falling 이렇게 내게로
The snow is falling falling
snow is falling falling
snow is falling 이렇게 내게로
<간주중>
Hi December 잘 지내니
나의 맘은 너와 잘 지내니
Hi December 난 여기 까지
걸어왔어 널 떠나
사랑에 무뎌지고
기억을 자꾸 지워가
너 마져 생각나면
뒷 걸음 치며 도망가
너의 기억이 너의 마음이
내 것이 아님을 알았어
I'm walking my way
내 느낌 이대로
널 살아본다 숨이 차오를때 까지
I'm walking my way
내 모습 이대로
널 불러본다 여기서 이렇게
The snow is falling falling
snow is falling falling
snow is falling 이렇게 내게로
The snow is falling falling
snow is falling falling
snow is falling 이렇게 내게로
The snow is falling falling
snow is falling falling
snow is falling 이렇게 내게로
The snow is falling falling
snow is falling falling
snow is falling 이렇게 내게로
The snow is falling falling
snow is falling falling
snow is falling 이렇게 내게로",이제이 쇼,2012.12.14,217,발라드
술이야 (원곡가수 바이브),"슬픔이 차올라서 한 잔을
채우다가
떠난 그대가 미워서
한참을 흉보다가
어느새 그대 말투 내가 하죠
난 늘 술이야 맨날 술이야
널 잃고 이렇게 내가 힘들 줄이야
이제 남남이야 정말 남이야
널잃고 이렇게 우린 영영
이젠 우리 둘은
술마시면 취하고
나 한 얘기를 또하고
이젠 너 남인줄도 모르고
너 하나 기다렸어
널 잃고 이렇게 내가 힘들 줄이야
이제 남남이야 정말 남이야
널 잃고 이렇게 우리
영영 이젠 우리 둘은
정말 영영 이제 우리 둘은 남이야
저물어 가는 오늘도 난 술이야",LEN,2012.12.14,282,발라드
가슴아 이제는 그만해,"가슴아 이제는 그만해
가슴아 안되는걸 알잖아
가슴아 이젠
그만 보내자 미련두지마
눈물이 나도 한번 더 참을게
보내는 내 맘 알아줘
널 사랑했어 널 사랑했어
행복해야돼
마지막이라도
한번 보고싶어
너를 찾아갔어
집앞 골목길에
다른 사람과 너
다정히 웃는 모습
뒤돌아 걷는길
눈물이 나왔어
앞이 안보였어
이대로 끝이라 생각을 하면
자꾸만 눈물이 나
가슴아 이제는 그만해
가슴아 안되는걸 알잖아
가슴아 이젠 그만 보내자
미련두지마
눈물이 나도 한번 더 참을게
보내는 내 맘 알아줘
널 사랑했어 널 사랑했어
행복해야돼
멍하니 앉아서
한숨만 쉬면서
나를 원망했어
어디서 어떻게 잘못된건지
사랑이 떠나갔어
가슴아 이제는 그만해
가슴아 안되는걸 알잖아
가슴아 이젠 그만 보내자
미련두지마
눈물이 나도 한번 더 참을게
보내는 내 맘 알아줘
널 사랑했어 널 사랑했어
행복해야돼
사랑한 기억 좋았던 추억
모두 다 지울거야
행복했어 행복했어
잘가라 내 사랑아
가슴아 이제는 그만해
가슴아 안되는걸 알잖아
가슴아 이젠 그만 보내자
미련두지마
눈물이 나도 한번 더 참을게
보내는 내 맘 알아줘
널 사랑했어 널 사랑했어
행복해야돼",란 (RAN),2012.12.21,129,발라드
사랑아 미안하다,"자꾸만 눈물이 나와서
자꾸만 한숨이 나와서
내가 못났나봐
너를 행복하게
해줄수 없다는게
사랑이 힘든건 줄 몰랐어
마냥 좋았는데
가슴아파 너무 가슴 아파
사랑아 미안하다
사랑아 자꾸 니 생각이 나서
앞을 볼 수가 없잖아
눈물이 나서
내앞을 가려 어떡하니
힘겹던 사랑에
날 만나 힘들었지
이젠 행복하게
내가 못해줬던
사랑을 하길 바래
자꾸만 눈물이 나와서
자꾸만 한숨이 나와서
내가 못났나봐
너를 행복하게
해줄수 없다는게
사랑이 힘든건 줄 몰랐어
마냥 좋았는데
가슴아파 너무 가슴 아파
사랑아 미안하다
사랑아 이렇게 될줄 몰랐어
어디부터 어긋났니
아프게하고 힘들게하고
그런거니
힘겹던 사랑에
날만나 힘들었지
이젠 행복하게
내가 못해줬던
사랑을 하길 바래
자꾸만 눈물이 나와서
자꾸만 한숨이 나와서
내가 못났나봐
너를 행복하게
해줄수 없다는게
아픈기억을 지우고
상처는 두고 떠나
미안해 다 미안해
사랑을 못지켜서
조금더 사랑을 했다면
조금더 사랑을 줬다면
이렇게까지는 안될수있을까
미련이 많이 남아
사랑이 힘든건 줄 몰랐어
마냥 좋았는데
가슴아파 너무 가슴 아파
사랑아 미안하다
사랑아",우은미 (Woo Eun Mi),2012.12.21,101,발라드
Love,"Love I can offer so much
love to you
I can do so much more to
please you um hum
Love I can even feel it in
the dark
feeling my heart’s only in
your mind um hm
Love you I Love you I'll
always do
in the night When you're
all alone
and on the times you need
someone
you made me see love all
around the world
your love in my heart blinds
me but helps me see through
my heart
Love at times love hurts
me real bad
But I always end up loving
you again hm
Love you I Love you I'll
always do
in the night When you're
all alone
and on the times you need
someone
you made me see love all
around the world
your love in my heart blinds
me but helps me see through
my heart
Love at times love hurts
me real bad
But I always end up loving
you again hm",우즈,2012.12.21,9,발라드
우리 처음 만난 날 기억하고 있니,"행복해 행복해서 그 무엇도
괜찮아 너만 있어줘
너만 내곁에 있어주면 되는 나야
우리 처음 만난날 기억하고
있니 얼굴 빨개지고
쑥스러워 했어
같이 길을 걸을땐 스치는
손끝을 잡고싶어 몇번이나
망설이곤 했었어
널 만나서 감사해 사랑을 알게
했어 이제서야 만났단걸 세상의
내 반쪽을
사랑해 사랑해서 자꾸 눈물이
나서 푼수같다고 바보같다고
놀림을 당해도 난
행복해 행복해서 그 무엇도
괜찮아 너만 있어줘 너만 내곁에
있어주면 되는 나야
눈만뜨면 니옆에 있고만 싶은데
어떡해야 내마음을
보여줄수 있을까
사랑이란 신기해 모든걸
바꿔놨어
이세상을 행복하게 만드는
너란 사람
사랑해 사랑해서 자꾸 눈물이
나서 푼수같다고 바보같다고
놀림을 당해도 난
행복해 행복해서 그 무엇도
괜찮아 너만 있어줘 너만 내곁에
있어주면 되는 나야
혹시 꿈일까봐 가끔
불안해져 혹시
꿈이라도 깨지 않길 바래 너와
함께라면 난
사랑해 사랑해서 자꾸 눈물이
나서 푼수같다고 바보같다고
놀림을 당해도 난
행복해 행복해서
그 무엇도 괜찮아
너만 있어줘 너만 내곁에
있어주면 되는 나야",리디아 (Lydia),2012.12.21,62,발라드
눈물 (원곡가수 리아),"이럴줄은 몰랐어 사랑을 느꼈어
떠난다는 그 말에
나 울어 버린거야
내겐 그런 슬픈 일이
없을 줄 알았었는데
울었어 눈물을 참지 못해 울었어
부은 눈을 감고 잠이 들었어
미칠 것만 같았어
하늘도 울고만 있어
이런게 이별인 줄 몰랐던 거야
우리 처음 만난 날
기억하고 있어
이제 너를 본다는 건
욕심이 되버린거야
혼자 남아 버렸어
믿을 수 없었어
세상이 날 버리고
모두 날 버린거야
나는 지쳐만 가는데
이젠 어떻게 살라고
울었어 눈물을 참지 못해 울었어
부은 눈을 감고 잠이 들었어
미칠 것만 같았어
하늘도 나처럼 울고만 있어
이런게 이별인 줄 몰랐던 거야
혼자 남아 버렸어
믿을 수 없었어",박미영,2012.12.21,42,발라드
Need U (Feat. 이다은),"I need you need you boy
I need you
I love you love you girl
I love you
어젯밤에 니가 한 말이
진심이 아닌걸 알아
I know
하지만 하루 종일
맘이 저려오는걸 알지만
I know
나도 홧김에 내뱉어버린 말야
알잖아
You know
뒤돌아서 너의 눈을
바라 본 순간
나는 알아버렸어
I need you need you boy
I need you
오직 너만 바라볼게 난
항상 너만 바라볼거야
I love you love you boy
I love you
세상 어떤 누구보다 더
내 눈에는 너만 보여
ma boy
니가 없는 내 모습을
생각한 적 없는 걸
알잖아
you know
언제나 나의 곁에만
늘 있어줬기에
몰랐어 이젠 알아
이제 다시는 맘 아프게 안할게
약속해
I promise
너와 함께했던 그 시간들 모두
너무 소중했단 걸
I need you need you boy
I need you
오직 너만 바라볼게 난
항상 너만 바라볼거야
I love you love you boy
I love you
세상 어떤 누구보다 더
내 눈에는 너만 보여
ma boy
ma girl ma boy
I love you love you boy
I love you
세상 어떤 누구보다 더
내 눈에는 너만 보여
I need you need you boy
I need you
I love you love you girl
I love you",씨피,2012.12.27,39,발라드
Both Sides Now (원곡가수 Joni Mitchell),"Blows and flows
of angel hair
And ice cream castles
in the air
And feather
canyons everywhere
I've looked at clouds
that way
But now they only
block the sun
They rain and
snow on everyone
So many things
I would have done
But clouds
got in my way
I've looked at clouds
from both sides now from
up and down
And still somehow
It's cloud illusions I recall
I really don't know
clouds at all
Moons and Junes
and ferries wheel
The dizzy dancing
way that you feel
As every fairy tale
comes real
I've looked at love
that way
But now
it's just another show
You leave'em laughing
when you go
And if you care
don't let them know
Don't give yourself
away
I've looked at love
from both sides now from
give and take
And still somehow
It's love's illusions I recall
I really don't know
I really don't know
love at all
Tears and fears
and feeling proud
To say I love you
right out loud
Dreams and schemes
and circus crowds
I've looked at life
that way
But now old friends are
acting strange
They shake their heads
they say I've changed
But something's lost
but something's gained In
living everyday
I've looked at life
from both sides now
From win and lose
And still somehow
It's life's illusions I recall
I really don't know
life at all
It's life's illusions
I recall
I really don't know
life at all",이은미,2012.12.30,389,발라드
자유로 Sunset (Feat. 하림),"밀리는 자유로
한중간 붉은 태양이
녹아가 내 하루도 녹아
라디오 디제이
알려주네
오늘 밤 열대야
일거라고
난 이미 며칠째
I Miss you woman
갑자기 미칠 것처럼
Miss you
언제나 볼 수 있었던
저 태양 같았던
You were my everything
So Sweet Heart My Woman
떠나지 않을 것 같던
그래서 소홀했던
갓길에 내 차를 세운 채
그 노래 위에 한참 울었어
태양이 사라져 갈 때
I Miss you woman
갑자기 미칠 것처럼
Miss you
언제나 볼 수 있었던
저 태양 같았던
You were my everything
So Sweet Heart My Woman
떠나지 않을 것 같던
You were my everything
So Sweet Heart My Woman
떠나지 않을 것 같던
그래서 소홀했던
미안했던 사랑했던",윤종신,2013.01.03,378,발라드
스캔들 (SCANDAL),"아무도 알아선 안 될
우린 그런 사이였죠
Love it Love is True
Love it Love is True
절대로 만나선 안 될
우린 그런 사이처럼
Love it Love is True
Love it Love is True
어제는 더는 넌 참지 못하고
왜 내가 이래야해 라고 말했죠
단 한번도
손 잡고 걸은 적도 난 없었고
우린 비밀이어야만 한다고
말해왔던 난데
그 어떤 말로도
난 널 잡지 못하는 걸 알면서도
가슴은 널 보내지 못해
이별 얘기도 아프단 말도 난 못해
마음이 커져 갈 수록
숨죽여 지내 왔었죠
Love it Love is True
Love it Love is True
없는 존재인 것 처럼
숨죽여 지내 왔었죠
Love it Love is True
Love it Love is True
어제는 더는 넌 참지 못하고
왜 내가 이래야해 라고 말했죠
단 한번도
손잡고 걸은 적도 난 없었고
우린 비밀이어야만 한다고
말해왔던 난데
그 어떤 말로도
난 널 잡지 못하는 걸 알면서도
가슴은 널 보내지 못해
이별 얘기도 아프단 말도 난 못해
늘 다짐했던 우리 마음이
지키고 싶었던 이 사랑이
이것밖에 안되는
널 탓하진 않겠지만
난 넌 그래도
모든걸 숨겨야만 했던 나를
조금은 이해해줘
단 한번도
손잡고 걸은 적도 난 없었고
우린 비밀이어야만 한다고
말해왔던 난데
그 어떤 말로도 난
널 잡지 못하는 걸 알면서도
가슴은 널 보내지 못해
이별 얘기도 아프단 말도 난 못해",문희준,2013.01.04,"1,595",발라드
