,제목,가사,장르
20,고향이 좋아,"타향도 정이 들면
정이 들면 고향이라고
그 누가 말했던가
말을 했던가
바보처럼 바보처럼
아니야 아니야
그것은 거짓말
향수를 달래려고
술이 취해 하는 말이야
아아아아 타향은 싫어
고향이 좋아
타향도 정을 두면
정을 두면 고향이라고
그 누가 말했던가
말을 했던가
바보처럼 바보처럼
아니야 아니야
그것은 거짓말
님 생각 고향생각
달래려고 하든 말이야
아아아아 타향은 싫어
고향이 좋아",트로트
21,낭주골 처녀,"월출산 신령님께 소원 빌었네
천왕봉 바라보며 사랑을 했네
금위로 돌아오마 떠난 그님을
오늘도 기다리는 남주골 처녀
너울지면 오시려나
달이뜨면 오시려나
때가되면 오시겠지
금의 환향 하시겠지
저 소등 범 바위에 이름 새겼네
영원히 변치말자 맹세를 했네
영광리 나룻 배로 오실 손님을
단장하고 기다리는 남주골 처녀
너울지면 오시려나
달이뜨면 오시려나
때가 되면 오시겠지
금의환향 하시겠지",트로트
22,신라의달밤,"1절
아~~~~신라의 밤이여
불국사의 종소리 들리어 온다
지1절
아~~~~신라의 밤이여
불국사의 종소리 들리어 온다
지나가는 나그네야 걸음을 멈추어라
고요한 달빛 어린 금옥산 기슭에서
노래를 불러본다 신라의 밤 노래를

2절
아~~~~신라의 밤이여
아름다운 궁녀들 그리워라
대궐 뒤 숲속에서 사랑을 맺었던가
님들의 치맛소리 귓속에 들으면서
노래를 불러본다 신라의 밤 노래를

나가는 나그네야 걸음을 멈추어라
고요한 달빛 어린 금옥산 기슭에서
노래를 불러본다 신라의 밤 노래를

2절
아~~~~신라의 밤이여
아름다운 궁녀들 그리웁구나
대궐 뒤에 숲속에서 사랑을 맺었던가
님들의 치맛소리 귓속에 들으면서
노래를 불러본다 신라의 밤 노래를",트로트
23,구멍난 가슴,"달콤하게 적신 내 입술 위로
독한 위스키를 한 잔 더하고
사람들 소리 멀어져 가면
그 님이 날 오라 하네
미치도록 사랑했던 그 사람이여
내 몸 속에 같이 살던 그 사람이여
당신 떠난 후 당신 떠난 후
구멍 난 내 가슴은 너무 아파요
죽을 것만 같아
기도합니다 아픔을
이 아픔을 가져 가라고
아파도 아파도 너무 아파요
구멍난 내 가슴에
달콤하게 적신 내 입술 위로
독한 위스키를 한 잔 더하고
사람들 소리 멀어져 가면
그 님이 날 오라 하네
미치도록 사랑했던 그 사람이여
내 몸 속에 같이 살던 그 사람이여
당신 떠난 후 당신 떠난 후
구멍 난 내 가슴은 너무 아파요
죽을 것만 같아
기도합니다 아픔을
이 아픔을 가져 가라고
아파도 아파도 너무 아파요
구멍난 내 가슴에
미치도록 사랑했던 그 사람이여
내 몸 속에 같이 살던 그 사람이여
당신 떠난 후 당신 떠난 후
구멍 난 내 가슴은 너무 아파요
죽을 것만 같아
기도합니다 아픔을
이 아픔을 가져 가라고
아파도 아파도 너무 아파요
구멍난 내 가슴에
구멍난 내 가슴에",트로트
24,초롱새,"어느 햇살 젖은 날
초롱새 한마리가
흩날리는 꽃잎따라
살포시 내려 왔대요
초로롬 한 얼굴이
물끄러미 보더니
수줍은 줄 모르고
이렇게 속삭였대요
그대 내 사랑 영원한 사랑
몇 번을 다시 태어나도
변치않을테니
부디 나를 당신께 있게 하세요
이 마음 받아주세요
초로롬 한 얼굴이 물끄러미 보더니
수줍은 줄 모르고
이렇게 속삭였대요
그대 내 사랑 영원한 사랑
몇 번을 다시 태어나도
변치않을테니
부디 나를 당신께 있게 하세요
이 마음 받아주세요
그대 내 사랑 영원한 사랑
몇 번을 다시 태어나도
변치않을테니
부디 나를 당신께 있게 하세요
이 마음 받아주세요
이 마음 받아주세요",트로트
25,사무치는 그리움,"세월이 흘러가듯 가슴속에 그리움
얼마나 세월이 가야
이내 맘을 그댄 알까요
얼마나 애를 태워야
운명처럼 다가 설까요
행여나 스치는 바람
내 마음 전해 주려나
그리움만큼 나를 울리고 추억속에
울고 웃던 생각이 나네
사랑보다 더 아픈게
그리움이라 햇던가
그동안 흘러간 시간을 모아
널 다시 만들고 싶어
그리움만큼 나를 울리고 추억속에
웃고 울던 생각이 나네
사랑보다 더 아픈 게
그리움이라 햇던가
그동안 흘러간 시간을 모아
널 다시 만들고 싶어
사랑보다 더 아픈 게
그리움이라 햇던가
그동안 흘러간 시간을 모아
널 다시 만들고 싶어
널 다시 만들고 싶어",트로트
26,사나이 눈물,"흘러가는 뜬구름은 바람에 가고
허무한 내 청춘은 세월에 가네
취한 김에 부르는 노래
끝도 없는 인생의 노래
아아 뜨거운 눈물 사나이 눈물
웃음이야 주고받을 친구는 많지만
눈물로 마주 앉을 사람은 없더라
취한 김에 부르는 노래
박자 없는 인생의 노래
아아 뜨거운 눈물 사나이 눈물
돌아보면 그다지도 먼 길도 아닌데
저만큼 지는 노을 날보고 웃네
취한 김에 껄껄 웃지만
웃는 눈에 맺힌 눈물은
아아 뜨거운 눈물 사나이 눈물",트로트
27,두줄기 눈물,"이슬비 내리던 밤에
나혼자 걸었네 정든 이거리
그대는 가고 나혼자만이
거니는 밤길 그리워
그리워서 흘러내리는
두줄기 눈물속에 아련히
보이는 것은 희미한 옛 사랑
그대는 가고 없어도
나혼자 걸었네 눈물의 거리
참을 수 없는 상처만 안고
거니는 밤길 보고파
보고파서 흘러내리는
두줄기 눈물속에 아련히
보이는 것은 희미한 옛 사랑",트로트
28,너와 나의 고향,"미워도 한세상 좋아도 한세상
마음을 달래며 웃으며 살리라
바람따라 구름따라 흘러온 사나이는
구름 머무는 고향땅에서
너와함께 살리라
미움이 변하여 사랑도 되겠지
마음을 달래며 알뜰히 살리라
정처없이 흘러온 길 상처만 쓰라린데
구름 머무는 정든땅에서
오손도손 살리라",트로트
29,알쏭달쏭,"되는 일 하나도 없단 말
그런 말 하지 마요
뜻대로 되는 일 없어 도
엄마 슬퍼마세요
다 잘될거야 입맞추던
당신의 미소가 보고싶어요
한숨 쉬지마요 그러지 마요
내겐 당신 뿐이니까
인생은 알쏭달쏭 알쏭달쏭
난 정말 모르겠어요
알콩달콩 알콩달콩
그렇게 살고싶어요
난 나나 난 나나 나나
난 슬픔은 털어 넘기고
난 나나 난 나나 나나
난 사랑을 노래할래요
맘 먹은 대로 안 풀려도
아빠 힘들어마세요
산다는게 그런 거래요
오늘도 힘내세요
잘 할 수 있어 안아주던
당신의 품속이 그리워요
포기 하지마요 그러지 마요
내가 여기 있으니까
인생은 알쏭달쏭 알쏭달쏭
난 정말 모르겠어요
알콩달콩 알콩달콩
그렇게 살고싶어요
난 나나 난 나나 나나
난 슬픔은 털어 넘기고
난 나나 난 나나 나나
난 사랑을 노래할래요
기합 기합 얼쑤
돌고 돌아 빙글빙글
결국엔 다 같은 것을
남들과 비교하지마요
그냥 날 안아주세요
난 특별한 걸
막 화려한 걸
바라는게 아니야
내겐 당신뿐 정말 사랑해
인생은 알쏭달쏭 알쏭달쏭
난 정말 모르겠어요
알콩달콩 알콩달콩
그렇게 살고싶어요
난 나나 난 나나 나나
난 슬픔은 털어 넘기고
난 나나 난 나나 나나
난 사랑을 노래할래요
인생은 알쏭달쏭 알쏭달쏭
난 정말 모르겠어요
알콩달콩 알콩달콩
그렇게 살고싶어요
난 나나 난 나나 나나
난 슬픔은 털어 넘기고
난 나라 난 난 나나
난 사랑을 노래할래요",트로트
